Year,Season Type,PLAYER,TEAM,GP,MIN,PTS,PPG,TeamPTS,TeamPPG_proxy,ScoringLoadPct,ScoringLoad_PG,FGA,FG3A,FTA,EFF
2024-25,Regular Season,Donovan Mitchell,CLE,71,2232,1701,23.95774647887324,9614,13.0625,17.692947784480964,183.40858548419706,1320,633,362,1541
2024-25,Regular Season,Alperen Sengun,HOU,76,2395,1451,19.092105263157894,8242,13.99320882852292,17.604950254792527,136.43836447464207,1143,90,428,1852
2024-25,Regular Season,LaMelo Ball,CHA,47,1505,1184,25.19148936170213,6788,11.182866556836903,17.442545668827343,225.26862172294037,1003,528,229,1029
2024-25,Regular Season,Coby White,CHI,74,2450,1509,20.39189189189189,8713,10.143189755529686,17.31894869734879,201.04022879760285,1121,584,307,1377
2024-25,Regular Season,Desmond Bane,ORL,69,2205,1327,19.231884057971016,7689,12.793677204658902,17.258421121082065,150.32334918507712,1018,418,198,1507
2024-25,Regular Season,Pascal Siakam,IND,78,2548,1578,20.23076923076923,9182,11.971316818774445,17.18579830102374,168.99368329340012,1182,324,308,1733
2024-25,Regular Season,Jalen Williams,OKC,69,2237,1490,21.594202898550726,8865,13.722910216718267,16.807670614777216,157.35877126298666,1168,340,299,1554
2024-25,Regular Season,Ivica Zubac,LAC,80,2624,1340,16.75,8091,13.242225859247135,16.561611667284637,126.48930910888643,942,0,236,2152
2024-25,Regular Season,Anfernee Simons,POR,70,2292,1348,19.257142857142856,8182,12.804381846635367,16.47518944023466,150.39494360442785,1125,593,194,1131
2024-25,Regular Season,Mikal Bridges,NYK,82,3036,1444,17.609756097560975,8766,15.570159857904086,16.472735569244808,113.0993917742052,1183,463,118,1382
2024-25,Regular Season,Shaedon Sharpe,POR,72,2252,1335,18.541666666666668,8182,12.804381846635367,16.31630408213151,144.80719872891714,1104,472,242,1128
2024-25,Regular Season,Norman Powell,LAC,60,1958,1306,21.766666666666666,8091,13.242225859247135,16.14139166975652,164.37317183702055,945,428,265,1055
2024-25,Regular Season,Darius Garland,CLE,75,2301,1544,20.586666666666666,9614,13.0625,16.05991262741835,157.60127591706538,1174,529,255,1526
2024-25,Regular Season,Jamal Murray,DEN,67,2418,1436,21.432835820895523,9004,16.31159420289855,15.948467347845401,131.39632800015914,1121,397,246,1468
2024-25,Regular Season,Scottie Barnes,TOR,65,2134,1252,19.26153846153846,7902,11.724035608308606,15.844090103771197,164.29102661448903,1063,280,302,1440
2024-25,Regular Season,De'Aaron Fox,SAS,62,2241,1459,23.532258064516128,9336,13.510853835021708,15.627677806341044,174.17298974486553,1163,381,318,1412
2024-25,Regular Season,Quentin Grimes,PHI,75,2013,1092,14.56,7007,12.602517985611511,15.584415584415584,115.53246753246754,823,421,214,1108
2024-25,Regular Season,Damian Lillard,MIL,58,2093,1447,24.948275862068964,9309,13.750369276218612,15.544097110323344,181.43713351187762,992,524,393,1468
2024-25,Regular Season,Michael Porter Jr.,DEN,77,2593,1398,18.155844155844157,9004,16.31159420289855,15.526432696579299,111.30637465599706,1048,489,194,1522
2024-25,Regular Season,Paolo Banchero,ORL,46,1582,1191,25.891304347826086,7689,12.793677204658902,15.489660554038236,202.37578245602128,911,272,385,1079
2024-25,Regular Season,Nikola Vučević,CHI,73,2278,1349,18.47945205479452,8713,10.143189755529686,15.482612188683575,182.18580643944097,1038,321,149,1817
2024-25,Regular Season,RJ Barrett,TOR,58,1869,1223,21.086206896551722,7902,11.724035608308606,15.477094406479372,179.85451086150164,982,306,311,1164
2024-25,Regular Season,CJ McCollum,NOP,56,1832,1183,21.125,7654,12.072555205047319,15.455970734256596,174.98366866997648,1000,459,173,981
2024-25,Regular Season,Jaylen Brown,BOS,63,2158,1398,22.19047619047619,9120,13.797276853252647,15.328947368421053,160.83228905597326,1118,358,322,1306
2024-25,Regular Season,Bam Adebayo,MIA,78,2674,1410,18.076923076923077,9262,11.76874205844981,15.223493845821636,153.60114944437984,1113,221,328,1836
2024-25,Regular Season,OG Anunoby,NYK,74,2706,1332,18.0,8766,15.570159857904086,15.195071868583163,115.60574948665297,1027,460,226,1346
2024-25,Regular Season,Julius Randle,MIN,69,2226,1288,18.666666666666668,8547,14.316582914572864,15.06961506961507,130.38493038493039,939,314,335,1416
2024-25,Regular Season,Cameron Johnson,BKN,57,1800,1070,18.771929824561404,7135,11.307448494453249,14.996496145760336,166.01384329780302,747,408,225,1074
2024-25,Regular Season,Deni Avdija,POR,72,2161,1219,16.930555555555557,8182,12.804381846635367,14.898557809826448,132.22470056220973,844,342,372,1408
2024-25,Regular Season,Tyrese Haliburton,IND,73,2450,1359,18.616438356164384,9182,11.971316818774445,14.800697015900674,155.50869330405231,1006,562,222,1761
2024-25,Regular Season,Trey Murphy III,NOP,53,1854,1124,21.20754716981132,7654,12.072555205047319,14.685131957146591,175.66742756284788,839,438,230,1088
2024-25,Regular Season,Domantas Sabonis,SAC,70,2429,1337,19.1,9248,14.054711246200608,14.457179930795846,135.897491349481,893,156,289,2167
2024-25,Regular Season,Anthony Davis,DAL,51,1705,1261,24.725490196078432,8738,13.42242703533026,14.43121995880064,184.21027829763173,910,124,369,1565
2024-25,Regular Season,Collin Sexton,UTA,63,1758,1159,18.396825396825395,8157,12.988853503184714,14.208655142822115,141.6354830109887,867,271,251,1002
2024-25,Regular Season,Kyrie Irving,DAL,50,1804,1234,24.68,8738,13.42242703533026,14.122224765392538,183.87136644541087,945,359,214,1167
2024-25,Regular Season,Keyonte George,UTA,67,2108,1125,16.791044776119403,8157,12.988853503184714,13.791835233541743,129.27272427857037,919,507,285,1015
2024-25,Regular Season,Evan Mobley,CLE,71,2167,1316,18.535211267605632,9614,13.0625,13.688371125442064,141.8963542017656,906,230,305,1745
2024-25,Regular Season,Derrick White,BOS,76,2574,1248,16.42105263157895,9120,13.797276853252647,13.684210526315791,119.01662049861497,959,691,161,1410
2024-25,Regular Season,Malik Beasley,DET,82,2283,1336,16.29268292682927,9810,11.833534378769603,13.618756371049951,137.6823052634196,1071,766,140,1029
2024-25,Regular Season,Christian Braun,DEN,79,2675,1218,15.417721518987342,9004,16.31159420289855,13.527321190581965,94.52001642026892,821,224,214,1492
2024-25,Regular Season,Ja Morant,MEM,50,1519,1159,23.18,8675,11.566666666666666,13.360230547550433,200.40345821325647,889,285,319,1075
2024-25,Regular Season,Naz Reid,MIN,80,2200,1138,14.225,8547,14.316582914572864,13.314613314613313,99.36030186030186,923,462,143,1292
2024-25,Regular Season,Kelly Oubre Jr.,PHI,60,2078,906,15.1,7007,12.602517985611511,12.929927215641502,119.81732553161125,741,242,185,985
2024-25,Regular Season,Dillon Brooks,HOU,75,2388,1053,14.04,8242,13.99320882852292,12.77602523659306,100.33438485804416,895,469,121,923
2024-25,Regular Season,Stephon Castle,SAS,81,2162,1190,14.691358024691358,9336,13.510853835021708,12.746358183376177,108.73745067546838,988,333,344,1078
2024-25,Regular Season,Bennedict Mathurin,IND,72,2149,1156,16.055555555555557,9182,11.971316818774445,12.589849705946419,134.1168711730681,853,288,332,1093
2024-25,Regular Season,Payton Pritchard,BOS,80,2271,1144,14.3,9120,13.797276853252647,12.543859649122806,103.6436403508772,866,626,84,1261
2024-25,Regular Season,Alex Sarr,WAS,67,1814,869,12.970149253731343,7013,11.747068676716918,12.391273349493797,110.41179387534027,828,341,165,941
2024-25,Regular Season,Jimmy Butler III,GSW,55,1746,964,17.527272727272727,7888,11.236467236467236,12.221095334685598,155.98561681725982,597,104,392,1221
2024-25,Regular Season,Myles Turner,IND,72,2174,1120,15.555555555555555,9182,11.971316818774445,12.197778261816598,129.94022120574073,811,394,238,1302
2024-25,Regular Season,Dyson Daniels,ATL,76,2571,1073,14.118421052631579,8854,12.541076487252125,12.118816354190196,112.57742560602996,923,235,140,1459
2024-25,Regular Season,Malik Monk,SAC,65,2054,1117,17.184615384615384,9248,14.054711246200608,12.078287197231834,122.26943039659301,939,428,178,1113
2024-25,Regular Season,Josh Hart,NYK,77,2897,1051,13.64935064935065,8766,15.570159857904086,11.989504905315993,87.66352287912864,770,252,205,1817
2024-25,Regular Season,Victor Wembanyama,SAS,46,1527,1116,24.26086956521739,9336,13.510853835021708,11.953727506426736,179.56577623784509,857,403,189,1389
2024-25,Regular Season,Amen Thompson,HOU,69,2225,970,14.057971014492754,8242,13.99320882852292,11.768988109682116,100.46281154496764,697,91,247,1460
2024-25,Regular Season,Keon Johnson,BKN,79,1925,839,10.620253164556962,7135,11.307448494453249,11.758934828311142,93.92263135018139,779,401,139,799
2024-25,Regular Season,Josh Giddey,CHI,70,2117,1022,14.6,8713,10.143189755529686,11.729599449099046,143.93894181108686,798,278,224,1542
2024-25,Regular Season,Jaden McDaniels,MIN,82,2614,1000,12.195121951219512,8547,14.316582914572864,11.7000117000117,85.18179249886568,834,303,128,1262
2024-25,Regular Season,Andrew Wiggins,MIA,60,1842,1078,17.966666666666665,9262,11.76874205844981,11.63895486935867,152.66429136975452,839,348,257,992
2024-25,Regular Season,Buddy Hield,GSW,82,1863,912,11.121951219512194,7888,11.236467236467236,11.561866125760648,98.98085390590214,786,549,64,842
2024-25,Regular Season,Bub Carrington,WAS,82,2458,807,9.841463414634147,7013,11.747068676716918,11.507200912590902,83.77803591239963,748,407,85,982
2024-25,Regular Season,Klay Thompson,DAL,72,1965,1005,13.958333333333334,8738,13.42242703533026,11.501487754634928,103.99261844815749,877,553,74,865
2024-25,Regular Season,Jarrett Allen,CLE,82,2296,1103,13.451219512195122,9614,13.0625,11.47285209070106,102.97584315556074,640,5,277,1846
2024-25,Regular Season,De'Andre Hunter,CLE,64,1740,1088,17.0,9614,13.0625,11.316829623465779,130.14354066985646,762,388,254,976
2024-25,Regular Season,Brook Lopez,MIL,80,2546,1041,13.0125,9309,13.750369276218612,11.18272639381244,94.63382210763777,774,373,138,1295
2024-25,Regular Season,Onyeka Okongwu,ATL,74,2064,988,13.35135135135135,8854,12.541076487252125,11.158798283261802,106.4609674051734,684,148,216,1515
2024-25,Regular Season,Devin Vassell,SAS,64,1983,1041,16.265625,9336,13.510853835021708,11.150385604113112,120.38931956940874,889,429,120,988
2024-25,Regular Season,Russell Westbrook,DEN,75,2092,994,13.253333333333334,9004,16.31159420289855,11.039537983118613,81.250999555753,831,291,233,1185
2024-25,Regular Season,Guerschon Yabusele,PHI,70,1895,768,10.971428571428572,7007,12.602517985611511,10.960468103325246,87.05743236355481,563,274,138,987
2024-25,Regular Season,Lauri Markkanen,UTA,47,1476,892,18.97872340425532,8157,12.988853503184714,10.935392914061543,146.11546276660954,700,399,185,797
2024-25,Regular Season,Harrison Barnes,SAS,82,2230,1011,12.329268292682928,9336,13.510853835021708,10.82904884318766,91.2545457395448,683,360,199,1086
2024-25,Regular Season,Toumani Camara,POR,78,2548,882,11.307692307692308,8182,12.804381846635367,10.779760449767783,88.31111445386685,716,360,126,1141
2024-25,Regular Season,Bradley Beal,PHX,53,1702,902,17.0188679245283,8392,12.562874251497005,10.74833174451859,135.46953972336638,694,264,137,885
2024-25,Regular Season,Zaccharie Risacher,ATL,75,1843,942,12.56,8854,12.541076487252125,10.639259091935848,100.15089225208943,779,344,149,834
2024-25,Regular Season,Jalen Wilson,BKN,79,2031,749,9.481012658227849,7135,11.307448494453249,10.497547302032235,83.84749807066254,620,362,165,726
2024-25,Regular Season,Keldon Johnson,SAS,77,1838,979,12.714285714285714,9336,13.510853835021708,10.486289631533847,94.104235524544,770,274,194,1026
2024-25,Regular Season,Naji Marshall,DAL,69,1919,914,13.246376811594203,8738,13.42242703533026,10.460059510185397,98.68838755261875,712,218,160,1039
2024-25,Regular Season,Jakob Poeltl,TOR,57,1686,824,14.456140350877194,7902,11.724035608308606,10.427739812705644,123.30344971515095,579,3,144,1292
2024-25,Regular Season,Bilal Coulibaly,WAS,59,1948,727,12.322033898305085,7013,11.747068676716918,10.366462284329103,104.89454209736397,624,224,185,806
2024-25,Regular Season,Kyle Kuzma,MIL,65,1936,964,14.830769230769231,9309,13.750369276218612,10.355569878612096,107.85724319723676,848,313,202,843
2024-25,Regular Season,Aaron Wiggins,OKC,76,1744,914,12.026315789473685,8865,13.722910216718267,10.310208685843204,87.63677382966723,728,339,89,964
2024-25,Regular Season,D'Angelo Russell,BKN,58,1480,732,12.620689655172415,7135,11.307448494453249,10.259285213735108,111.61394775632508,638,360,145,749
2024-25,Regular Season,Fred VanVleet,HOU,60,2111,844,14.066666666666666,8242,13.99320882852292,10.240232953166707,100.52495349025317,759,461,137,932
2024-25,Regular Season,Scoot Henderson,POR,66,1759,837,12.681818181818182,8182,12.804381846635367,10.229772671718408,99.04279904891003,685,297,206,828
2024-25,Regular Season,Tobias Harris,DET,73,2305,1002,13.726027397260275,9810,11.833534378769603,10.21406727828746,115.9926270369905,805,264,166,1198
2024-25,Regular Season,Keegan Murray,SAC,76,2610,942,12.394736842105264,9248,14.054711246200608,10.18598615916955,88.18919595702059,820,449,72,1160
2024-25,Regular Season,Nic Claxton,BKN,70,1882,724,10.342857142857143,7135,11.307448494453249,10.147161878065871,91.4694163579938,568,21,154,1148
2024-25,Regular Season,Rudy Gobert,MIN,72,2388,866,12.027777777777779,8547,14.316582914572864,10.132210132210131,84.01290901290902,510,0,273,1591
2024-25,Regular Season,Corey Kispert,WAS,61,1602,705,11.557377049180328,7013,11.747068676716918,10.052759161557107,98.3852003188458,565,330,88,642
2024-25,Regular Season,Dennis Schröder,DET,75,2105,980,13.066666666666666,9810,11.833534378769603,9.98980632008155,110.4206591913014,827,371,216,992
2024-25,Regular Season,Spencer Dinwiddie,DAL,79,2136,872,11.037974683544304,8738,13.42242703533026,9.97940032043946,82.2353115013429,682,326,243,969
2024-25,Regular Season,Rui Hachimura,LAL,59,1869,775,13.135593220338983,7781,13.461937716262975,9.9601593625498,97.57579850091162,576,247,113,866
2024-25,Regular Season,Mark Williams,CHA,44,1171,671,15.25,6788,11.182866556836903,9.885091337654686,136.36932822628168,447,4,163,1033
2024-25,Regular Season,Tyus Jones,PHX,81,2174,829,10.234567901234568,8392,12.562874251497005,9.878455672068636,81.46677023385,683,401,57,1057
2024-25,Regular Season,Kawhi Leonard,LAC,37,1180,796,21.513513513513512,8091,13.242225859247135,9.838091706834755,162.46146034800094,623,190,121,799
2024-25,Regular Season,Gradey Dick,TOR,54,1587,777,14.38888888888889,7902,11.724035608308606,9.832953682611997,122.72982929778678,647,326,155,639
2024-25,Regular Season,Derrick Jones Jr.,LAC,77,1873,781,10.142857142857142,8091,13.242225859247135,9.652700531454702,76.59480551582888,589,219,118,836
2024-25,Regular Season,Zion Williamson,NOP,30,857,737,24.566666666666666,7654,12.072555205047319,9.62895218186569,203.49185611009494,508,13,241,783
2024-25,Regular Season,Anthony Black,ORL,78,1887,736,9.435897435897436,7689,12.793677204658902,9.572116009884251,73.75438105051839,620,195,197,796
2024-25,Regular Season,P.J. Washington,DAL,57,1835,836,14.666666666666666,8738,13.42242703533026,9.567406729228656,109.26985580224309,665,239,198,995
2024-25,Regular Season,Paul George,PHI,41,1334,665,16.21951219512195,7007,12.602517985611511,9.490509490509492,128.70056772495795,570,268,97,708
2024-25,Regular Season,Jaylen Wells,MEM,79,2044,823,10.417721518987342,8675,11.566666666666666,9.487031700288185,90.06675664830556,676,392,135,796
2024-25,Regular Season,Brandin Podziemski,GSW,64,1716,747,11.671875,7888,11.236467236467236,9.470081135902637,103.87495245943205,629,309,95,927
2024-25,Regular Season,Brice Sensabaugh,UTA,71,1432,772,10.873239436619718,8157,12.988853503184714,9.464263822483757,83.7120800073211,599,372,73,707
2024-25,Regular Season,Jalen Duren,DET,78,2034,918,11.76923076923077,9810,11.833534378769603,9.357798165137615,99.45659844742414,546,0,242,1693
2024-25,Regular Season,Santi Aldama,MEM,65,1660,811,12.476923076923077,8675,11.566666666666666,9.348703170028818,107.869651961871,648,326,94,1061
2024-25,Regular Season,John Collins,UTA,40,1221,758,18.95,8157,12.988853503184714,9.292632095133015,145.8943238935883,531,148,164,865
2024-25,Regular Season,Moses Moody,GSW,74,1649,724,9.783783783783784,7888,11.236467236467236,9.178498985801218,87.07170659503318,568,337,133,696
2024-25,Regular Season,Ty Jerome,CLE,70,1392,878,12.542857142857143,9614,13.0625,9.132515082171832,96.02187286397813,618,253,148,959
2024-25,Regular Season,Jonas Valančiūnas,SAC,81,1524,843,10.407407407407407,9248,14.054711246200608,9.115484429065743,74.04924388055876,627,37,165,1295
2024-25,Regular Season,Jonathan Kuminga,GSW,47,1144,719,15.297872340425531,7888,11.236467236467236,9.115111561866126,136.1448577963834,568,151,235,640
2024-25,Regular Season,Dalton Knecht,LAL,78,1494,706,9.051282051282051,7781,13.461937716262975,9.073383883819561,67.2361010877911,557,340,84,663
2024-25,Regular Season,Obi Toppin,IND,79,1545,833,10.544303797468354,9182,11.971316818774445,9.072097582226094,88.07973222237233,599,301,114,978
2024-25,Regular Season,Nickeil Alexander-Walker,MIN,82,2073,773,9.426829268292684,8547,14.316582914572864,9.044109044109044,65.84552560162317,616,370,118,874
2024-25,Regular Season,Scotty Pippen Jr.,MEM,79,1683,779,9.860759493670885,8675,11.566666666666666,8.979827089337174,85.25152300003647,594,219,171,1022
2024-25,Regular Season,Kristaps Porziņģis,BOS,42,1210,818,19.476190476190474,9120,13.797276853252647,8.969298245614036,141.1596700083542,574,250,199,895
2024-25,Regular Season,Ziaire Williams,BKN,63,1541,632,10.031746031746032,7135,11.307448494453249,8.857743517869658,88.71803428215482,520,302,123,698
2024-25,Regular Season,Georges Niang,ATL,79,1697,784,9.924050632911392,8854,12.541076487252125,8.854754913033656,79.13236669116154,620,409,58,781
2024-25,Regular Season,Gary Trent Jr.,MIL,74,1893,824,11.135135135135135,9309,13.750369276218612,8.851648941884198,80.9806261304811,657,433,92,725
2024-25,Regular Season,Duncan Robinson,MIA,74,1786,817,11.04054054054054,9262,11.76874205844981,8.820988987259772,93.81240990504648,663,483,53,741
2024-25,Regular Season,Caris LeVert,ATL,64,1596,776,12.125,8854,12.541076487252125,8.764400271063925,96.68229049017393,599,284,155,844
2024-25,Regular Season,Julian Champagnie,SAS,82,1932,815,9.939024390243903,9336,13.510853835021708,8.729648671808054,73.56325892950446,665,480,94,868
2024-25,Regular Season,Nick Smith Jr.,CHA,60,1369,591,9.85,6788,11.182866556836903,8.70654095462581,88.08117265763111,568,306,46,456
2024-25,Regular Season,Yves Missi,NOP,73,1956,665,9.10958904109589,7654,12.072555205047319,8.688267572511105,75.45700878043891,492,1,204,1118
2024-25,Regular Season,Tim Hardaway Jr.,DET,77,2153,844,10.96103896103896,9810,11.833534378769603,8.603465851172274,92.62692455353006,680,457,145,722
2024-25,Regular Season,Amir Coffey,LAC,72,1748,696,9.666666666666666,8091,13.242225859247135,8.60215053763441,72.99880525686977,510,247,129,652
2024-25,Regular Season,Max Christie,DAL,78,2127,749,9.602564102564102,8738,13.42242703533026,8.571755550469215,71.54119055583922,590,314,152,800
2024-25,Regular Season,Isaiah Joe,OKC,74,1604,756,10.216216216216216,8865,13.722910216718267,8.527918781725887,74.44642612155302,588,466,56,751
2024-25,Regular Season,Jabari Smith Jr.,HOU,57,1716,698,12.24561403508772,8242,13.99320882852292,8.468818247998058,87.51112189597994,566,277,126,822
2024-25,Regular Season,Donte DiVincenzo,MIN,62,1606,723,11.661290322580646,8547,14.316582914572864,8.45910845910846,81.45302822722178,593,438,63,810
2024-25,Regular Season,Kyle Filipowski,UTA,72,1522,690,9.583333333333334,8157,12.988853503184714,8.45899227657227,73.7812104123248,518,220,143,930
2024-25,Regular Season,Ochai Agbaji,TOR,64,1739,667,10.421875,7902,11.724035608308606,8.440901037711972,88.89323905340419,534,253,48,759
2024-25,Regular Season,Kyshawn George,WAS,68,1802,590,8.676470588235293,7013,11.747068676716918,8.412947383430772,73.86072923394367,546,354,93,699
2024-25,Regular Season,Cam Thomas,BKN,25,781,599,23.96,7135,11.307448494453249,8.395234758234057,211.8957252978276,454,195,151,458
2024-25,Regular Season,Brandon Miller,CHA,27,924,568,21.037037037037038,6788,11.182866556836903,8.36770771950501,188.1184661385015,491,293,79,466
2024-25,Regular Season,Tari Eason,HOU,57,1420,686,12.035087719298245,8242,13.99320882852292,8.323222518806116,86.00663269432984,559,184,104,901
2024-25,Regular Season,Aaron Gordon,DEN,51,1447,748,14.666666666666666,9004,16.31159420289855,8.307418924922256,89.91559306974678,497,172,179,856
2024-25,Regular Season,Kevin Porter Jr.,MIL,75,1482,771,10.28,9309,13.750369276218612,8.282307444408636,74.76162853152863,652,177,169,865
2024-25,Regular Season,Jerami Grant,POR,47,1524,677,14.404255319148936,8182,12.804381846635367,8.27426057198729,112.49473415957188,574,296,166,578
2024-25,Regular Season,Luguentz Dort,OKC,71,2073,719,10.126760563380282,8865,13.722910216718267,8.110547095318669,73.79455526163183,593,413,46,846
2024-25,Regular Season,Grayson Allen,PHX,64,1544,680,10.625,8392,12.562874251497005,8.102955195424213,84.57459485224024,489,350,114,718
2024-25,Regular Season,Royce O'Neale,PHX,75,1837,680,9.066666666666666,8392,12.562874251497005,8.102955195424213,72.17032094057832,570,441,26,892
2024-25,Regular Season,Wendell Carter Jr.,ORL,68,1758,618,9.088235294117647,7689,12.793677204658902,8.037456106125635,71.03692823208097,491,158,175,949
2024-25,Regular Season,Daniel Gafford,DAL,57,1226,701,12.298245614035087,8738,13.42242703533026,8.022430762188144,91.6246039681488,403,0,196,1047
2024-25,Regular Season,Matas Buzelis,CHI,80,1511,688,8.6,8713,10.143189755529686,7.896246987260415,84.7859520257087,555,266,108,752
2024-25,Regular Season,Jordan Hawkins,NOP,56,1320,604,10.785714285714286,7654,12.072555205047319,7.891298667363469,89.340774198365,556,332,98,456
2024-25,Regular Season,Walker Kessler,UTA,58,1740,641,11.051724137931034,8157,12.988853503184714,7.858281230844673,85.08621746500783,419,34,152,1319
2024-25,Regular Season,T.J. McConnell,IND,79,1415,720,9.113924050632912,9182,11.971316818774445,7.841428882596384,76.13134117660034,624,49,77,939
2024-25,Regular Season,Kevin Huerter,CHI,69,1679,681,9.869565217391305,8713,10.143189755529686,7.815907265006312,97.30238174841192,604,391,49,703
2024-25,Regular Season,Draymond Green,GSW,68,1983,613,9.014705882352942,7888,11.236467236467236,7.771298174442191,80.22722527144734,509,246,147,1066
2024-25,Regular Season,Kentavious Caldwell-Pope,MEM,77,2279,673,8.74025974025974,8675,11.566666666666666,7.75792507204611,75.56420524720237,544,330,95,731
2024-25,Regular Season,Justin Champagnie,WAS,62,1341,544,8.774193548387096,7013,11.747068676716918,7.757022672180238,74.69262153696131,411,193,73,781
2024-25,Regular Season,Chris Paul,SAS,82,2292,723,8.817073170731707,9336,13.510853835021708,7.744215938303342,65.25918552887327,583,371,92,1279
2024-25,Regular Season,Jared Butler,PHI,60,1044,541,9.016666666666667,7007,12.602517985611511,7.720850577993435,71.54654868940582,453,169,91,580
2024-25,Regular Season,Jalen Johnson,ATL,36,1284,680,18.88888888888889,8854,12.541076487252125,7.680144567427151,150.61616846121024,542,141,126,903
2024-25,Regular Season,Ricky Council IV,PHI,73,1250,532,7.287671232876712,7007,12.602517985611511,7.592407592407592,57.827104402446864,463,213,153,520
2024-25,Regular Season,Jose Alvarado,NOP,56,1366,579,10.339285714285714,7654,12.072555205047319,7.564672066893127,85.64289447161147,521,309,74,645
2024-25,Regular Season,Isaiah Collier,UTA,71,1839,615,8.661971830985916,8157,12.988853503184714,7.539536594336154,66.68773213018456,555,169,154,800
2024-25,Regular Season,Jrue Holiday,BOS,62,1896,686,11.064516129032258,9120,13.797276853252647,7.521929824561403,80.19347764572721,573,306,77,880
2024-25,Regular Season,Josh Green,CHA,68,1888,506,7.4411764705882355,6788,11.182866556836903,7.454331172657631,66.54086796769386,421,248,72,541
2024-25,Regular Season,Jalen Suggs,ORL,35,1002,567,16.2,7689,12.793677204658902,7.374170893484198,126.62504877097152,481,242,110,522
