PLAYER,TEAM,GP,MIN,STL,BLK,PF,STL_per36,BLK_per36,PF_per36,Hustle_per36,Discipline_Hustle_Index
Victor Wembanyama,SAS,46,1527,52,176,105,1.225933202357564,4.149312377210216,2.4754420432220043,5.37524557956778,2.1714285714285713
Delon Wright,NYK,40,635,35,12,25,1.984251968503937,0.6803149606299213,1.4173228346456692,2.6645669291338585,1.8800000000000003
Jimmy Butler III,GSW,55,1746,77,18,52,1.5876288659793816,0.3711340206185567,1.0721649484536082,1.9587628865979383,1.826923076923077
Anthony Davis,DAL,51,1705,59,110,98,1.2457478005865104,2.32258064516129,2.069208211143695,3.5683284457478006,1.7244897959183674
Bol Bol,PHX,36,448,9,25,20,0.7232142857142858,2.0089285714285716,1.6071428571428572,2.7321428571428577,1.7000000000000002
Tyrese Haliburton,IND,73,2450,105,49,92,1.542857142857143,0.72,1.3518367346938776,2.262857142857143,1.673913043478261
Dyson Daniels,ATL,76,2571,229,55,175,3.206534422403734,0.7701283547257876,2.4504084014002334,3.9766627771295218,1.622857142857143
Jonathan Isaac,ORL,71,1090,61,80,90,2.014678899082569,2.6422018348623855,2.9724770642201834,4.656880733944954,1.5666666666666667
Robert Williams III,POR,20,351,13,33,31,1.3333333333333333,3.3846153846153846,3.1794871794871793,4.717948717948718,1.4838709677419357
Josh Okogie,CHA,40,625,48,18,47,2.7647999999999997,1.0368,2.7072000000000003,3.8015999999999996,1.404255319148936
Scottie Barnes,TOR,65,2134,93,63,113,1.5688847235238987,1.062792877225867,1.9062792877225867,2.6316776007497658,1.3805309734513274
John Konchar,MEM,46,558,30,14,32,1.935483870967742,0.903225806451613,2.064516129032258,2.838709677419355,1.375
Jalen Johnson,ATL,36,1284,56,36,67,1.5700934579439252,1.0093457943925233,1.8785046728971961,2.5794392523364484,1.373134328358209
Kawhi Leonard,LAC,37,1180,59,17,56,1.8,0.5186440677966102,1.7084745762711866,2.31864406779661,1.357142857142857
Walker Kessler,UTA,58,1740,36,138,130,0.7448275862068965,2.855172413793104,2.689655172413793,3.6000000000000005,1.3384615384615386
Dalano Banton,POR,67,1120,43,34,58,1.3821428571428571,1.0928571428571427,1.8642857142857143,2.4749999999999996,1.3275862068965516
T.J. McConnell,IND,79,1415,83,21,79,2.111660777385159,0.5342756183745583,2.009893992932862,2.6459363957597173,1.3164556962025318
Chet Holmgren,OKC,32,877,23,71,72,0.9441277080957811,2.9144811858608897,2.9555302166476625,3.8586088939566707,1.3055555555555556
Craig Porter Jr.,CLE,51,513,17,15,25,1.1929824561403508,1.0526315789473684,1.7543859649122806,2.245614035087719,1.28
Shai Gilgeous-Alexander,OKC,76,2598,131,77,164,1.8152424942263279,1.0669745958429562,2.272517321016166,2.8822170900692843,1.2682926829268295
Jeff Dowtin Jr.,PHI,41,621,24,12,29,1.391304347826087,0.6956521739130435,1.681159420289855,2.0869565217391304,1.2413793103448276
Evan Mobley,CLE,71,2167,61,113,141,1.0133825565297647,1.8772496538994001,2.342408860175358,2.890632210429165,1.2340425531914894
Dejounte Murray,NOP,31,1012,63,12,61,2.241106719367589,0.4268774703557312,2.1699604743083003,2.6679841897233203,1.2295081967213115
Tyus Jones,PHX,81,2174,69,8,63,1.1425942962281508,0.13247470101195952,1.0432382704691812,1.2750689972401104,1.2222222222222223
Kevin Durant,PHX,62,2265,50,77,104,0.794701986754967,1.223841059602649,1.652980132450331,2.0185430463576157,1.221153846153846
Eric Gordon,PHI,39,769,26,12,32,1.2171651495448634,0.5617685305591678,1.4980494148244474,1.7789336801040312,1.1875
Jarrett Allen,CLE,82,2296,77,73,127,1.207317073170732,1.1445993031358885,1.9912891986062717,2.3519163763066206,1.1811023622047248
Lonzo Ball,CHI,35,777,47,17,55,2.1776061776061777,0.7876447876447876,2.5482625482625485,2.9652509652509655,1.1636363636363636
Stephen Curry,GSW,70,2252,80,30,95,1.2788632326820604,0.4795737122557726,1.5186500888099466,1.758436944937833,1.1578947368421053
Brook Lopez,MIL,80,2546,50,148,171,0.7069913589945012,2.0926944226237234,2.417910447761194,2.7996857816182246,1.1578947368421053
David Roddy,HOU,33,410,14,9,20,1.229268292682927,0.7902439024390243,1.7560975609756098,2.0195121951219512,1.15
Alex Caruso,OKC,54,1041,87,30,102,3.0086455331412103,1.037463976945245,3.5273775216138326,4.046109510086455,1.147058823529412
Peyton Watson,DEN,68,1656,48,93,123,1.0434782608695652,2.0217391304347827,2.6739130434782608,3.0652173913043477,1.146341463414634
Olivier-Maxence Prosper,DAL,52,584,26,6,28,1.6027397260273972,0.3698630136986301,1.7260273972602738,1.9726027397260273,1.142857142857143
Amen Thompson,HOU,69,2225,97,89,167,1.569438202247191,1.44,2.7020224719101122,3.009438202247191,1.1137724550898203
Mouhamed Gueye,ATL,33,533,28,33,55,1.8911819887429644,2.2288930581613506,3.7148217636022514,4.120075046904315,1.1090909090909091
Derrick White,BOS,76,2574,72,80,138,1.006993006993007,1.118881118881119,1.9300699300699302,2.125874125874126,1.1014492753623186
LeBron James,LAL,70,2444,70,39,99,1.0310965630114566,0.5744680851063829,1.458265139116203,1.6055646481178396,1.101010101010101
Precious Achiuwa,NYK,57,1170,47,42,81,1.4461538461538463,1.2923076923076922,2.4923076923076923,2.7384615384615385,1.0987654320987654
Andrew Wiggins,MIA,60,1842,60,50,101,1.1726384364820848,0.977198697068404,1.9739413680781759,2.1498371335504887,1.0891089108910892
Devin Vassell,SAS,64,1983,84,33,108,1.5249621785173977,0.5990922844175491,1.9606656580937971,2.124054462934947,1.0833333333333333
