PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
LaMelo Ball,CHA,47,1505,54,13,1.2916943521594684,0.3109634551495017,1.6026578073089701
Stephon Castle,SAS,81,2162,74,22,1.2321924144310823,0.36632747456059206,1.5985198889916743
Darius Garland,CLE,75,2301,91,11,1.4237288135593222,0.17209908735332463,1.5958279009126468
Talen Horton-Tucker,CHI,58,724,21,11,1.0441988950276242,0.5469613259668508,1.591160220994475
Nikola Jović,MIA,46,1156,38,13,1.1833910034602075,0.4048442906574395,1.588235294117647
Pascal Siakam,IND,78,2548,70,42,0.989010989010989,0.5934065934065934,1.5824175824175826
Miles Bridges,CHA,64,2029,44,45,0.7806801379990144,0.7984228684080829,1.5791030064070972
Terance Mann,ATL,67,1414,47,15,1.1966053748231966,0.3818953323903819,1.5785007072135786
Ayo Dosunmu,CHI,46,1394,43,18,1.1104734576757531,0.4648493543758967,1.5753228120516498
Rayan Rupert,POR,52,460,16,4,1.2521739130434784,0.3130434782608696,1.565217391304348
Jayson Tatum,BOS,72,2624,76,38,1.0426829268292683,0.5213414634146342,1.5640243902439024
Jaden Ivey,DET,30,898,28,11,1.1224944320712695,0.44097995545657015,1.5634743875278396
Davion Mitchell,MIA,74,2027,72,16,1.2787370498273312,0.284163788850518,1.5629008386778491
Cameron Johnson,BKN,57,1800,53,25,1.06,0.5,1.56
Guerschon Yabusele,PHI,70,1895,58,24,1.1018469656992085,0.45593667546174144,1.5577836411609498
Noah Clowney,BKN,46,1042,24,21,0.8291746641074856,0.72552783109405,1.5547024952015356
Orlando Robinson,TOR,44,770,17,16,0.7948051948051948,0.7480519480519481,1.542857142857143
KJ Martin,UTA,43,912,17,22,0.6710526315789473,0.8684210526315789,1.539473684210526
Trendon Watford,BKN,44,913,27,12,1.0646221248630887,0.47316538882803943,1.537787513691128
Jaylen Brown,BOS,63,2158,73,19,1.2177942539388322,0.3169601482854495,1.5347544022242818
Ben Sheppard,IND,63,1230,38,14,1.1121951219512196,0.40975609756097564,1.5219512195121951
Naji Marshall,DAL,69,1919,70,11,1.3131839499739448,0.20635747785304845,1.5195414278269932
Taurean Prince,MIL,80,2166,76,15,1.263157894736842,0.24930747922437674,1.5124653739612188
Gabe Vincent,LAL,72,1527,51,13,1.2023575638506876,0.306483300589391,1.5088408644400786
Norman Powell,LAC,60,1958,73,9,1.342185903983657,0.16547497446373852,1.5076608784473955
Colin Castleton,TOR,26,432,8,10,0.6666666666666666,0.8333333333333333,1.5
Jordan Clarkson,UTA,37,962,31,9,1.1600831600831603,0.3367983367983368,1.496881496881497
Maxi Kleber,LAL,34,637,9,17,0.5086342229199372,0.9607535321821037,1.469387755102041
Spencer Dinwiddie,DAL,79,2136,70,17,1.1797752808988764,0.2865168539325843,1.4662921348314608
Klay Thompson,DAL,72,1965,50,30,0.916030534351145,0.549618320610687,1.465648854961832
Rob Dillingham,MIN,49,516,20,1,1.3953488372093024,0.06976744186046512,1.4651162790697674
Nickeil Alexander-Walker,MIN,82,2073,50,34,0.8683068017366137,0.5904486251808971,1.4587554269175107
Alec Burks,MIA,49,864,28,7,1.1666666666666665,0.29166666666666663,1.458333333333333
Paolo Banchero,ORL,46,1582,36,28,0.8192161820480405,0.6371681415929203,1.4563843236409608
Austin Reaves,LAL,73,2550,81,22,1.1435294117647057,0.3105882352941176,1.4541176470588233
Danté Exum,DAL,20,372,12,3,1.161290322580645,0.29032258064516125,1.4516129032258063
Monté Morris,PHX,45,571,20,3,1.2609457092819616,0.18914185639229422,1.4500875656742558
Jordan Hawkins,NOP,56,1320,30,23,0.8181818181818182,0.6272727272727273,1.4454545454545455
Gary Trent Jr.,MIL,74,1893,72,4,1.3692551505546753,0.07606973058637084,1.4453248811410462
Hunter Tyson,DEN,51,400,10,6,0.9,0.54,1.44
Julian Strawther,DEN,65,1384,39,16,1.0144508670520231,0.41618497109826585,1.430635838150289
Micah Potter,UTA,38,705,14,14,0.7148936170212766,0.7148936170212766,1.4297872340425533
Tristan Thompson,CLE,40,328,2,11,0.21951219512195122,1.207317073170732,1.426829268292683
A.J. Lawson,TOR,26,486,13,6,0.9629629629629629,0.4444444444444444,1.4074074074074074
Mikal Bridges,NYK,82,3036,75,43,0.8893280632411067,0.5098814229249011,1.3992094861660078
Keldon Johnson,SAS,77,1838,49,22,0.9597388465723612,0.4309031556039173,1.3906420021762784
Bogdan Bogdanović,LAC,54,1348,41,11,1.0949554896142433,0.2937685459940653,1.3887240356083086
Jabari Smith Jr.,HOU,57,1716,25,41,0.5244755244755245,0.8601398601398601,1.3846153846153846
Damian Lillard,MIL,58,2093,70,10,1.2040133779264213,0.17200191113234592,1.3760152890587671
CJ McCollum,NOP,56,1832,46,24,0.9039301310043668,0.47161572052401746,1.3755458515283843
Vince Williams Jr.,MEM,27,499,12,7,0.8657314629258517,0.5050100200400802,1.370741482965932
Rui Hachimura,LAL,59,1869,45,26,0.8667736757624398,0.5008025682182986,1.3675762439807384
Aaron Holiday,HOU,62,792,19,11,0.8636363636363635,0.5,1.3636363636363635
Antonio Reeves,NOP,44,660,21,4,1.1454545454545453,0.21818181818181817,1.3636363636363635
Brice Sensabaugh,UTA,71,1432,46,8,1.1564245810055866,0.2011173184357542,1.3575418994413408
Trae Young,ATL,76,2739,91,12,1.1960569550930997,0.15772179627601313,1.3537787513691129
Luke Kennard,MEM,65,1472,50,5,1.2228260869565217,0.12228260869565218,1.3451086956521738
Jeremiah Robinson-Earl,NOP,66,1239,39,7,1.1331719128329298,0.2033898305084746,1.3365617433414045
Dennis Schröder,DET,75,2105,66,12,1.1287410926365795,0.20522565320665084,1.3339667458432303
GG Jackson,MEM,29,459,12,5,0.9411764705882353,0.3921568627450981,1.3333333333333335
Johnny Juzang,UTA,64,1270,39,8,1.105511811023622,0.22677165354330708,1.332283464566929
Payton Pritchard,BOS,80,2271,70,14,1.1096433289299867,0.22192866578599735,1.331571994715984
Cody Williams,UTA,50,1060,23,16,0.781132075471698,0.5433962264150943,1.3245283018867924
Gradey Dick,TOR,54,1587,48,10,1.0888468809073724,0.22684310018903592,1.3156899810964082
Jaden Hardy,DAL,57,907,28,5,1.1113561190738699,0.1984564498346196,1.3098125689084894
Jalen Green,HOU,82,2697,71,27,0.9477196885428254,0.3604004449388209,1.3081201334816464
Dillon Jones,OKC,54,552,16,4,1.0434782608695652,0.2608695652173913,1.3043478260869565
De'Andre Hunter,CLE,64,1740,50,13,1.0344827586206897,0.2689655172413793,1.3034482758620691
Jalen Pickett,DEN,49,666,19,5,1.027027027027027,0.2702702702702703,1.2972972972972974
Ricky Council IV,PHI,73,1250,32,13,0.9216000000000001,0.37439999999999996,1.296
Isaiah Joe,OKC,74,1604,48,9,1.0773067331670823,0.20199501246882792,1.2793017456359101
Caleb Houstan,ORL,58,788,22,6,1.0050761421319798,0.27411167512690354,1.2791878172588833
Tyus Jones,PHX,81,2174,69,8,1.1425942962281508,0.13247470101195952,1.2750689972401104
Terrence Shannon Jr.,MIN,32,339,7,5,0.7433628318584071,0.5309734513274336,1.2743362831858407
Jaylon Tyson,CLE,47,453,13,3,1.033112582781457,0.23841059602649006,1.2715231788079469
Sam Hauser,BOS,71,1541,41,13,0.9578195976638546,0.3036988968202466,1.2615184944841011
Simone Fontecchio,DET,75,1237,31,12,0.9021827000808408,0.349232012934519,1.2514147130153597
Coby White,CHI,74,2450,69,16,1.013877551020408,0.23510204081632655,1.2489795918367346
Shake Milton,LAL,57,836,25,4,1.076555023923445,0.17224880382775118,1.2488038277511961
Shaedon Sharpe,POR,72,2252,62,16,0.9911190053285969,0.2557726465364121,1.2468916518650088
Tidjane Salaün,CHA,60,1244,29,14,0.8392282958199356,0.40514469453376206,1.2443729903536977
Jett Howard,ORL,60,701,13,11,0.667617689015692,0.5649072753209701,1.232524964336662
Svi Mykhailiuk,UTA,38,760,19,7,0.9,0.33157894736842103,1.231578947368421
Malik Beasley,DET,82,2283,73,5,1.1511169513797634,0.07884362680683311,1.2299605781865965
DeMar DeRozan,SAC,77,2768,62,32,0.8063583815028902,0.41618497109826585,1.222543352601156
Michael Porter Jr.,DEN,77,2593,50,38,0.6941766293868107,0.5275742383339761,1.221750867720787
Lauri Markkanen,UTA,47,1476,33,17,0.8048780487804879,0.41463414634146345,1.2195121951219514
RJ Barrett,TOR,58,1869,46,17,0.8860353130016051,0.3274478330658106,1.2134831460674156
Pat Connaughton,MIL,41,603,9,11,0.5373134328358209,0.6567164179104478,1.1940298507462686
Bennedict Mathurin,IND,72,2149,47,24,0.7873429502093997,0.40204746393671476,1.1893904141461145
Landry Shamet,NYK,50,762,23,2,1.0866141732283465,0.09448818897637795,1.1811023622047245
Tyrese Martin,BKN,60,1315,34,9,0.9307984790874525,0.24638783269961978,1.1771863117870722
Seth Curry,CHA,68,1062,27,7,0.9152542372881356,0.23728813559322035,1.152542372881356
Malcolm Brogdon,WAS,24,564,13,5,0.8297872340425532,0.3191489361702128,1.148936170212766
Dillon Brooks,HOU,75,2388,60,16,0.9045226130653267,0.24120603015075376,1.1457286432160805
Tyler Herro,MIA,77,2725,69,17,0.911559633027523,0.22458715596330275,1.1361467889908257
Lonnie Walker IV,PHI,20,477,10,5,0.7547169811320755,0.37735849056603776,1.1320754716981134
Tristan da Silva,ORL,74,1629,33,18,0.7292817679558011,0.39779005524861877,1.12707182320442
Terry Rozier,MIA,64,1658,37,14,0.8033775633293124,0.30398069963811825,1.1073582629674306
Bub Carrington,WAS,82,2458,54,21,0.790886899918633,0.30756712774613504,1.098454027664768
Domantas Sabonis,SAC,70,2429,48,26,0.7114038699053108,0.3853437628653767,1.0967476327706875
Malaki Branham,SAS,47,427,11,2,0.927400468384075,0.1686182669789227,1.0960187353629978
Collin Sexton,UTA,63,1758,47,6,0.962457337883959,0.12286689419795221,1.0853242320819112
Max Strus,CLE,50,1273,26,12,0.7352710133542812,0.3393558523173606,1.0746268656716418
Devin Booker,PHX,75,2795,67,16,0.8629695885509839,0.20608228980322002,1.069051878354204
Jalen Brunson,NYK,65,2301,60,8,0.9387222946544981,0.12516297262059975,1.0638852672750978
Immanuel Quickley,TOR,33,918,23,4,0.9019607843137255,0.15686274509803924,1.0588235294117647
Kyle Kuzma,MIL,65,1936,36,19,0.6694214876033058,0.35330578512396693,1.0227272727272727
Anfernee Simons,POR,70,2292,60,5,0.9424083769633508,0.07853403141361257,1.0209424083769634
Julius Randle,MIN,69,2226,47,16,0.7601078167115903,0.2587601078167116,1.0188679245283019
Anthony Gill,WAS,51,398,9,2,0.8140703517587939,0.18090452261306533,0.9949748743718593
Zach LaVine,SAC,74,2603,58,12,0.8021513638109873,0.1659623511333077,0.968113714944295
Amir Coffey,LAC,72,1748,40,7,0.8237986270022883,0.14416475972540047,0.9679633867276888
AJ Green,MIL,73,1659,37,7,0.8028933092224232,0.15189873417721517,0.9547920433996384
Keyonte George,UTA,67,2108,46,9,0.7855787476280834,0.1537001897533207,0.9392789373814041
Jamison Battle,TOR,59,1042,17,10,0.5873320537428023,0.345489443378119,0.9328214971209212
Duncan Robinson,MIA,74,1786,40,6,0.8062709966405375,0.12094064949608062,0.9272116461366181
Aaron Gordon,DEN,51,1447,23,14,0.572218382861092,0.34830684174153426,0.9205252246026262
Jaylen Wells,MEM,79,2044,44,8,0.7749510763209393,0.14090019569471623,0.9158512720156555
Jared McCain,PHI,23,592,15,0,0.9121621621621622,0.0,0.9121621621621622
Jeff Green,HOU,32,396,6,4,0.5454545454545454,0.36363636363636365,0.9090909090909091
Corey Kispert,WAS,61,1602,26,14,0.5842696629213484,0.3146067415730337,0.8988764044943821
Georges Niang,ATL,79,1697,28,14,0.5939893930465527,0.29699469652327637,0.8909840895698291
Harrison Barnes,SAS,82,2230,39,14,0.6295964125560538,0.22600896860986547,0.8556053811659192
AJ Johnson,WAS,29,638,12,3,0.677115987460815,0.16927899686520376,0.8463949843260188
Jalen Wilson,BKN,79,2031,40,5,0.7090103397341212,0.08862629246676515,0.7976366322008863
Cam Thomas,BKN,25,781,15,2,0.6914212548015364,0.09218950064020487,0.7836107554417413
Dalton Knecht,LAL,78,1494,24,8,0.5783132530120482,0.19277108433734938,0.7710843373493975
Tim Hardaway Jr.,DET,77,2153,38,7,0.6353924756154203,0.11704598235020902,0.7524384579656294
Vasilije Micic,PHX,41,785,15,0,0.6878980891719745,0.0,0.6878980891719745
Doug McDermott,SAC,42,342,4,2,0.42105263157894735,0.21052631578947367,0.631578947368421
Nick Smith Jr.,CHA,60,1369,17,6,0.44704163623082543,0.15777940102264426,0.6048210372534697
