PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
Delon Wright,NYK,40,635,35,12,1.984251968503937,0.6803149606299213,2.6645669291338585
Clint Capela,ATL,55,1176,34,53,1.0408163265306123,1.6224489795918369,2.663265306122449
Bismack Biyombo,SAS,28,528,16,23,1.0909090909090908,1.5681818181818183,2.659090909090909
Keaton Wallace,ATL,31,501,28,9,2.0119760479041915,0.6467065868263473,2.658682634730539
T.J. McConnell,IND,79,1415,83,21,2.111660777385159,0.5342756183745583,2.6459363957597173
Mark Williams,CHA,44,1171,32,54,0.9837745516652434,1.660119555935098,2.6438941076003415
Scottie Barnes,TOR,65,2134,93,63,1.5688847235238987,1.062792877225867,2.6316776007497658
Cam Reddish,LAL,33,589,33,10,2.0169779286926994,0.6112054329371817,2.628183361629881
Brandon Clarke,MEM,64,1207,52,36,1.5509527754763877,1.0737365368682683,2.624689312344656
Kyle Anderson,MIA,61,1002,40,33,1.437125748502994,1.18562874251497,2.622754491017964
Jaylen Clark,MIN,40,522,36,2,2.4827586206896552,0.13793103448275862,2.6206896551724137
Kevon Looney,GSW,76,1142,46,37,1.4500875656742558,1.1663747810858143,2.61646234676007
Ryan Rollins,MIL,56,820,42,17,1.84390243902439,0.7463414634146341,2.590243902439024
Thomas Bryant,IND,66,963,28,41,1.046728971962617,1.5327102803738317,2.5794392523364484
Jalen Johnson,ATL,36,1284,56,36,1.5700934579439252,1.0093457943925233,2.5794392523364484
Larry Nance Jr.,ATL,24,463,20,13,1.5550755939524836,1.0107991360691144,2.565874730021598
Paul George,PHI,41,1334,75,20,2.0239880059970012,0.5397301349325337,2.563718140929535
Anthony Black,ORL,78,1887,86,48,1.6406995230524641,0.9157392686804452,2.5564387917329094
Herbert Jones,NOP,20,648,37,9,2.0555555555555554,0.5,2.5555555555555554
Dwight Powell,DAL,55,551,18,21,1.176043557168784,1.3720508166969145,2.5480943738656983
Marcus Smart,WAS,34,680,39,9,2.064705882352941,0.4764705882352941,2.541176470588235
Jaden McDaniels,MIN,82,2614,110,74,1.5149196633511859,1.0191277735271613,2.534047436878347
Jalen Duren,DET,78,2034,54,89,0.9557522123893805,1.5752212389380529,2.5309734513274336
Jalen Williams,OKC,69,2237,111,46,1.7863209655789003,0.7402771569065713,2.5265981224854714
Christian Koloko,LAL,37,342,8,16,0.8421052631578947,1.6842105263157894,2.526315789473684
Jusuf Nurkić,CHA,51,1063,40,34,1.3546566321730948,1.1514581373471309,2.5061147695202255
Neemias Queta,BOS,62,863,18,42,0.7508690614136733,1.7520278099652375,2.502896871378911
Moussa Diabaté,CHA,71,1241,46,40,1.3344077356970185,1.160354552780016,2.494762288477035
Jonathan Mogbo,TOR,63,1286,55,34,1.5396578538102643,0.9517884914463453,2.49144634525661
Yves Missi,NOP,73,1956,37,98,0.6809815950920245,1.8036809815950918,2.4846625766871164
Matas Buzelis,CHI,80,1511,29,75,0.6909331568497684,1.786896095301125,2.4778292521508933
