PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,Usage_pg,Usage_per36,Usage_SharePct
OG Anunoby,NYK,74,2706,1332,1027,226,15.222162162162164,14.985898004434592,14.449244725392004
Jalen Suggs,ORL,35,1002,567,481,110,15.125714285714285,19.020359281437123,6.795717696593155
Tyrese Haliburton,IND,73,2450,1359,1006,222,15.118904109589042,16.217338775510203,13.907678659636884
Nikola Vučević,CHI,73,2278,1349,1038,149,15.117260273972603,17.439929762949955,13.916758725402664
John Collins,UTA,40,1221,758,531,164,15.078999999999999,17.783587223587222,7.687954399453445
Mikal Bridges,NYK,82,3036,1444,1183,118,15.06,14.643320158102767,15.840756095558659
Jordan Clarkson,UTA,37,962,600,493,143,15.024864864864863,20.803659043659042,7.085827325658464
Immanuel Quickley,TOR,33,918,564,438,128,14.979393939393939,19.385098039215688,6.621728786677241
Paul George,PHI,41,1334,665,570,97,14.94341463414634,16.53409295352324,8.287792050385793
Cameron Johnson,BKN,57,1800,1070,747,225,14.842105263157896,16.919999999999998,12.185636505055744
Michael Porter Jr.,DEN,77,2593,1398,1048,194,14.718961038961037,15.735040493636713,14.153342024945925
Devin Vassell,SAS,64,1983,1041,889,120,14.715625,17.097730711043873,10.622507353870029
Evan Mobley,CLE,71,2167,1316,906,305,14.650704225352113,17.280664513151823,12.625502495484826
Domantas Sabonis,SAC,70,2429,1337,893,289,14.573714285714285,15.119703581720872,12.591085921917887
Kyle Kuzma,MIL,65,1936,964,848,202,14.413538461538462,17.421322314049586,11.2143715556577
Jonathan Kuminga,GSW,47,1144,719,568,235,14.285106382978723,21.127972027972028,9.615990558741471
Bradley Beal,PHX,53,1702,902,694,137,14.231698113207546,15.954218566392479,9.317067868295188
Stephon Castle,SAS,81,2162,1190,988,344,14.066172839506175,18.971766882516192,12.850775088878063
Deni Avdija,POR,72,2161,1219,844,372,13.995555555555557,16.78689495603887,12.534143999363145
Jimmy Butler III,GSW,55,1746,964,597,392,13.990545454545455,15.86556701030928,11.020721500060155
Bennedict Mathurin,IND,72,2149,1156,853,332,13.876111111111111,16.736565844578877,12.589594443380344
Malik Beasley,DET,82,2283,1336,1071,140,13.812195121951218,17.859658344283837,12.724470169509805
Jerami Grant,POR,47,1524,677,574,166,13.766808510638297,15.284409448818897,8.048281729664106
Kelly Oubre Jr.,PHI,60,2078,906,741,185,13.706666666666667,14.24754571703561,11.124698345363445
Fred VanVleet,HOU,60,2111,844,759,137,13.654666666666666,13.97161534817622,9.6415374114435
De'Andre Hunter,CLE,64,1740,1088,762,254,13.6525,18.077793103448276,10.605324995630475
Derrick White,BOS,76,2574,1248,959,161,13.550526315789472,14.403356643356641,12.990826799067543
Alex Sarr,WAS,67,1814,869,828,165,13.441791044776119,17.872987872105845,12.745614184059917
Gradey Dick,TOR,54,1587,777,647,155,13.244444444444445,16.22381852551985,9.58055597230855
P.J. Washington,DAL,57,1835,836,665,198,13.195087719298245,14.75548773841962,8.923469726738613
Ivica Zubac,LAC,80,2624,1340,942,236,13.072999999999999,14.34841463414634,14.00061044503585
Jared McCain,PHI,23,592,352,274,56,12.984347826086957,18.16054054054054,4.039737249342582
Dyson Daniels,ATL,76,2571,1073,923,140,12.955263157894738,13.786697782963827,11.913635219638744
Josh Giddey,CHI,70,2117,1022,798,224,12.808,15.246178554558336,11.306326074565053
Bobby Portis,MIL,49,1244,680,595,73,12.798367346938775,18.148167202572346,7.5065714819230385
Myles Turner,IND,72,2174,1120,811,238,12.718333333333334,15.163716651333948,11.539159450386604
Dillon Brooks,HOU,75,2388,1053,895,121,12.6432,14.295075376884423,11.159178101536941
Klay Thompson,DAL,72,1965,1005,877,74,12.632777777777777,16.66369465648855,10.791404462921307
Chet Holmgren,OKC,32,877,479,341,134,12.49875,16.417970353477763,4.938850910815189
Russell Westbrook,DEN,75,2092,994,831,233,12.446933333333334,16.064397705544934,11.657750270988496
Deandre Ayton,POR,40,1206,576,468,60,12.36,14.75820895522388,6.149651469995572
Naz Reid,MIN,80,2200,1138,923,143,12.324,16.133236363636364,12.810211580539372
Dennis Schröder,DET,75,2105,980,827,216,12.293866666666666,15.76885510688836,10.35888263737844
Quentin Grimes,PHI,75,2013,1092,823,214,12.2288,16.402265275707897,12.406527644009651
D'Angelo Russell,BKN,58,1480,732,638,145,12.1,17.070810810810812,10.10860484544695
Tobias Harris,DET,73,2305,1002,805,166,12.027945205479451,13.713422993492408,9.864553935755245
Bilal Coulibaly,WAS,59,1948,727,624,185,11.95593220338983,13.036139630390144,9.98307377907602
Mark Williams,CHA,44,1171,671,447,163,11.789090909090909,15.946985482493597,7.418891628574861
