PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,Usage_pg,Usage_per36,Usage_SharePct
Eric Gordon,PHI,39,769,266,204,48,5.772307692307693,10.538777633289987,3.0452238466782817
Talen Horton-Tucker,CHI,58,724,379,291,98,5.760689655172414,16.613701657458563,4.213515735738463
Mouhamed Gueye,ATL,33,533,197,171,42,5.741818181818181,12.797898686679174,2.292703231177279
Goga Bitadze,ORL,70,1429,502,339,133,5.678857142857143,10.014499650104968,5.102821493671536
Donovan Clingan,POR,67,1324,436,334,104,5.668059701492537,10.325800604229606,4.723688596774916
Jeremiah Robinson-Earl,NOP,66,1239,418,347,55,5.624242424242424,10.78547215496368,4.860114589770716
Trayce Jackson-Davis,GSW,62,967,407,302,102,5.594838709677419,12.913836608066184,4.968118565707837
Marcus Sasser,DET,57,811,375,296,51,5.586666666666667,14.135437731196053,3.577591630565692
Haywood Highsmith,MIA,74,1818,478,391,43,5.53945945945946,8.117227722772277,4.932709524634668
Ajay Mitchell,OKC,36,597,234,184,35,5.538888888888889,12.024120603015076,2.4622634053819104
Cody Williams,UTA,50,1060,230,257,40,5.492000000000001,9.326037735849058,3.50008667366854
Vít Krejčí,ATL,57,1153,412,292,45,5.470175438596492,9.73529921942758,3.7727721526339226
Simone Fontecchio,DET,75,1237,446,373,84,5.466133333333333,11.93092966855295,4.605795329941939
Kyle Anderson,MIA,61,1002,357,303,65,5.436065573770493,11.913772455089822,3.9902578024220725
Bol Bol,PHX,36,448,244,183,26,5.401111111111111,15.624642857142856,2.4017747737064705
Keaton Wallace,ATL,31,501,168,162,11,5.381935483870968,11.988502994011977,2.018759800979614
Kenrich Williams,OKC,69,1132,436,354,39,5.379130434782609,11.803674911660778,4.58321808195361
Richaun Holmes,WAS,31,534,230,139,60,5.335483870967742,11.15056179775281,2.340800117747624
Seth Curry,CHA,68,1062,444,343,39,5.2964705882352945,12.208813559322035,5.151118154201732
Thomas Bryant,IND,66,963,429,321,64,5.290303030303031,13.052710280373834,4.399830640039518
Zach Collins,CHI,64,977,407,302,78,5.255,12.392548618219038,4.241259464394708
Jonathan Isaac,ORL,71,1090,380,324,107,5.2264788732394365,12.255853211009173,4.763420708069113
Isaac Okoro,CLE,55,1053,337,267,46,5.222545454545455,9.820170940170941,3.4863962091934835
Elfrid Payton,NOP,24,511,85,122,7,5.211666666666667,8.811898238747554,1.6376700778246798
Jarace Walker,IND,75,1187,461,360,69,5.2048000000000005,11.83905644481887,4.918999566519148
Ryan Rollins,MIL,56,820,349,271,45,5.192857142857143,12.766829268292684,3.4808505340974927
KJ Martin,UTA,43,912,274,201,47,5.155348837209303,8.750526315789473,2.825561594387625
Jay Huff,MEM,64,748,439,305,56,5.150625,15.865026737967913,4.187734070501908
Jordan Goodwin,LAL,29,543,161,144,11,5.132413793103448,9.867845303867403,2.0701549417229965
Collin Gillespie,PHX,33,461,194,158,22,5.081212121212121,13.094316702819958,2.0712281117830744
Gary Payton II,GSW,62,927,400,298,38,5.0761290322580646,12.222135922330098,4.5075134772819725
Trevelin Queen,ORL,31,430,152,147,21,5.04,13.080558139534883,2.005596775435804
Sandro Mamukelashvili,SAS,61,681,385,281,58,5.024918032786885,16.203700440528635,3.457221229675347
Quenton Jackson,IND,28,381,162,122,40,4.985714285714286,13.19055118110236,1.7591257800135083
Jaylin Williams,OKC,47,784,278,221,30,4.982978723404255,10.754081632653062,2.8919864069229857
Shake Milton,LAL,57,836,315,254,59,4.911578947368421,12.055693779904306,3.8938496202954185
Isaiah Stewart,DET,72,1434,435,315,87,4.906666666666666,8.868953974895396,3.969010084305513
Lindy Waters III,DET,52,778,256,249,11,4.881538461538462,11.745809768637532,2.851827218637091
Jamal Cain,NOP,37,502,196,158,50,4.864864864864865,12.908366533864543,2.3567366006431274
Dean Wade,CLE,59,1253,320,271,30,4.816949152542373,8.16536312849162,3.4494979900180605
Landry Shamet,NYK,50,762,286,230,18,4.7584,11.240314960629922,3.0518840817666857
Jaxson Hayes,LAL,56,1093,383,223,98,4.752142857142857,8.76516010978957,3.701354696931764
Ben Sheppard,IND,63,1230,332,287,27,4.744126984126984,8.74770731707317,3.7662429307337923
Monté Morris,PHX,45,571,233,195,42,4.744,13.459334500875656,2.636961935254358
Reed Sheppard,HOU,52,654,229,239,16,4.731538461538461,13.54348623853211,2.8954739096664865
Javonte Green,CLE,68,1258,347,287,76,4.71235294117647,9.169984101748806,3.8893636028198006
Moussa Diabaté,CHA,71,1241,403,280,116,4.662535211267606,9.603094278807415,4.734635033782045
Ben Simmons,LAC,51,1120,256,223,33,4.657254901960784,7.634571428571428,3.1796689674375767
Pat Connaughton,MIL,41,603,216,177,31,4.649756097560975,11.38149253731343,2.281944105296925
Aaron Holiday,HOU,62,792,340,268,41,4.613548387096775,13.001818181818182,3.366206133640879
Jett Howard,ORL,60,701,267,262,23,4.535333333333333,13.974778887303852,3.4931067238325078
Bismack Biyombo,SAS,28,528,144,114,25,4.464285714285714,8.522727272727273,1.4098677205709853
Rob Dillingham,MIN,49,516,219,211,15,4.440816326530612,15.18139534883721,2.827310572790254
Luke Kornet,BOS,73,1361,441,280,97,4.42027397260274,8.535253490080823,4.070418697587115
Reggie Jackson,PHI,31,384,136,133,9,4.418064516129032,12.84,1.8526734987609164
Colin Castleton,TOR,26,432,123,98,38,4.412307692307692,9.559999999999999,1.5367468975716398
Kris Murray,POR,69,1040,287,279,57,4.40695652173913,10.525846153846153,3.7823341808176645
Malaki Branham,SAS,47,427,235,190,33,4.351489361702128,17.24290398126464,2.306769169689423
Jabari Walker,POR,60,749,313,229,71,4.3373333333333335,12.508197596795728,3.2370252802420065
Robert Williams III,POR,20,351,116,78,17,4.274,8.767179487179487,1.0632528471990725
Kevon Looney,GSW,76,1142,344,278,99,4.231052631578947,10.136742556917689,4.605477992357622
Pelle Larsson,MIA,55,782,251,203,61,4.178909090909091,10.580869565217391,2.7657444309670964
Jevon Carter,CHI,36,321,153,146,10,4.177777777777778,16.867289719626168,1.896662177226939
Jeff Green,HOU,32,396,172,121,26,4.13875,12.04,1.5585943935792126
David Roddy,HOU,33,410,153,125,26,4.134545454545455,11.98009756097561,1.6056676159766519
Dalen Terry,CHI,73,987,326,268,69,4.087123287671233,10.88243161094225,3.7625540372169515
Adem Bona,PHI,58,905,337,192,100,4.068965517241379,9.387845303867405,3.1923988442434013
Devin Carter,SAC,36,396,138,127,44,4.065555555555556,13.305454545454547,1.8064140287130475
Julian Phillips,CHI,79,1123,366,287,76,4.056202531645569,10.272341941228852,4.0410001866396295
Jock Landale,HOU,42,500,200,152,40,4.038095238095238,12.2112,1.9959046296514227
Jordan Miller,LAC,37,420,152,134,35,4.037837837837838,12.805714285714286,2.0000107095620323
Maxwell Lewis,BKN,28,328,116,108,10,4.014285714285714,12.33658536585366,1.6189900037449947
Olivier-Maxence Prosper,DAL,52,584,201,174,76,3.9892307692307694,12.787397260273972,2.461155879533396
Mo Bamba,NOP,32,413,138,112,27,3.87125,10.79825665859564,1.621958500487059
Terrence Shannon Jr.,MIN,32,339,138,114,21,3.85125,13.087433628318582,1.6012764475674215
Daniel Theis,NOP,38,621,162,129,37,3.823157894736842,8.422028985507247,1.9021482963412975
Duop Reath,POR,46,469,194,166,22,3.819130434782609,13.485031982942433,2.185215959241145
Jarred Vanderbilt,LAL,36,581,147,121,36,3.801111111111111,8.478898450946645,1.903251828979944
Micah Potter,UTA,38,705,162,135,20,3.78421052631579,7.342978723404256,1.8328931670558484
Wendell Moore Jr.,CHA,36,499,150,126,22,3.768888888888889,9.788537074148298,1.940536736900519
Kyle Lowry,PHI,35,659,138,117,33,3.757714285714286,7.184704097116844,1.7790859999783568
Jalen Pickett,DEN,49,666,200,180,8,3.7453061224489796,9.92,2.2917884241706754
Baylor Scheierman,BOS,31,384,113,110,12,3.718709677419355,10.807500000000001,1.454189498753696
Neemias Queta,BOS,62,863,310,203,61,3.7070967741935483,9.587763615295481,2.8992966203465436
Colby Jones,WAS,39,515,157,129,35,3.7025641025641027,10.09398058252427,2.0436005864737417
Drew Eubanks,LAC,61,746,280,194,71,3.692459016393443,10.869490616621984,3.015277190239305
Blake Wesley,SAS,58,683,217,186,61,3.669655172413793,11.218506588579796,2.400609965170628
Torrey Craig,BOS,26,314,108,90,12,3.664615384615385,10.923821656050956,1.2019012442856711
Charles Bassey,SAS,36,376,157,117,33,3.6533333333333338,12.592340425531917,1.4834064208759679
Dominick Barlow,ATL,35,375,148,113,33,3.6434285714285712,12.24192,1.5429887905833157
Steven Adams,HOU,58,794,225,167,93,3.584827586206897,9.427103274559194,2.446866100218891
Ousmane Dieng,OKC,37,405,142,125,16,3.5686486486486486,11.736888888888888,1.6304777334334373
Paul Reed,DET,45,438,184,142,42,3.566222222222222,13.19013698630137,1.8029515917384193
Delon Wright,NYK,40,635,125,131,25,3.55,8.050393700787401,1.8214842787948444
Gui Santos,GSW,56,762,227,179,42,3.5264285714285712,9.329763779527559,2.8283673153712625
Patty Mills,LAC,29,321,111,96,14,3.522758620689655,11.457196261682244,1.3676110715452292
Kessler Edwards,DAL,40,608,168,135,13,3.518,8.332105263157894,1.669561585846218
Mason Plumlee,PHX,74,1300,333,202,128,3.4908108108108107,7.153476923076923,3.1908375825131423
Oso Ighodaro,PHX,61,1046,255,187,50,3.4262295081967213,7.193116634799235,2.5816237795960313
Jaylen Clark,MIN,40,522,163,120,37,3.407,9.398620689655173,1.7707071914515433
Caleb Houstan,ORL,58,788,239,190,17,3.4048275862068964,9.021928934010152,2.534979846473775
Jaylon Tyson,CLE,47,453,167,149,24,3.3948936170212765,12.680264900662252,1.9366710038257628
Jae'Sean Tate,HOU,52,588,188,148,47,3.243846153846154,10.327346938775511,1.985077788500012
Cory Joseph,ORL,50,612,177,154,18,3.2384,9.52470588235294,2.0785088957921487
Reece Beekman,BKN,36,469,93,107,21,3.2288888888888887,8.922473347547974,1.6743006942643963
Cam Reddish,LAL,33,589,105,94,26,3.1951515151515153,6.444550084889643,1.4665220173022893
Nicolas Batum,LAC,78,1367,313,238,21,3.16974358974359,6.5110753474762255,3.3097901461319736
Andre Jackson Jr.,MIL,67,980,230,197,24,3.097910447761194,7.62465306122449,2.4844750235807274
Maxi Kleber,LAL,34,637,103,96,21,3.0952941176470588,5.947629513343799,1.4637402987565717
Kai Jones,DAL,40,468,198,109,32,3.077,9.467692307692307,1.4602731664720903
Craig Porter Jr.,CLE,51,513,188,140,32,3.0211764705882356,10.81263157894737,1.8701571087332263
DeAndre Jordan,DEN,56,691,209,140,64,3.0028571428571427,8.760868306801736,2.0999735255478464
Rayan Rupert,POR,52,460,155,142,30,2.9846153846153842,12.146086956521739,1.9304731151766035
Gary Harris,ORL,48,711,145,133,12,2.8808333333333334,7.001518987341772,1.7750507047315858
Doug McDermott,SAC,42,342,147,117,5,2.8380952380952382,12.547368421052632,1.4711980884298663
Zeke Nnaji,DEN,57,608,184,141,44,2.8133333333333335,9.495000000000001,2.002567522340941
Taj Gibson,CHA,37,409,107,95,20,2.805405405405405,9.13643031784841,1.4845792547927024
Dillon Jones,OKC,54,552,135,133,28,2.691111111111111,9.477391304347826,1.7944639822973882
Hunter Tyson,DEN,51,400,134,120,28,2.5945098039215684,11.9088,1.652405428761245
Jaden Springer,UTA,43,365,109,90,38,2.481860465116279,10.525808219178082,1.360266750961058
Isaac Jones,SAC,40,304,134,83,36,2.471,11.704736842105264,1.219909555875906
Trey Jemison III,LAL,38,392,95,74,33,2.329473684210526,8.12938775510204,1.231188628334585
Anthony Gill,WAS,51,398,129,88,50,2.156862745098039,9.949748743718592,1.5567594495298587
Tristan Thompson,CLE,40,328,69,71,30,2.105,9.241463414634147,1.0219835705824094
John Konchar,MEM,46,558,112,91,8,2.054782608695652,6.098064516129032,1.2007784987982053
Johnny Furphy,IND,50,379,103,92,22,2.0336000000000003,9.65825857519789,1.281288748651673
Christian Koloko,LAL,37,342,90,66,14,1.9502702702702701,7.59578947368421,1.0036440512948899
Jordan McLaughlin,SAS,46,314,98,72,22,1.7756521739130435,9.364585987261147,0.9212639633299047
Jordan Walsh,BOS,52,403,82,83,12,1.6976923076923076,7.88605459057072,1.1136003552218623
Alex Len,LAL,46,380,74,63,17,1.5321739130434784,6.677052631578947,0.9802776155108627
Dwight Powell,DAL,55,551,114,61,43,1.4530909090909092,5.221633393829401,0.9482046755317636
Jericho Sims,MIL,53,631,98,71,13,1.4475471698113207,4.377052297939778,0.9183316814854181
