PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,TOV,Usage_pg,TOV_per36,LowTO_HighUsage_Index
Julian Strawther,DEN,65,1384,588,486,90,57,8.086153846153847,1.4826589595375723,5.453819163292848
KJ Martin,UTA,43,912,274,201,47,24,5.155348837209303,0.9473684210526315,5.441757105943153
Chet Holmgren,OKC,32,877,479,341,134,56,12.49875,2.2987457240592932,5.437204241071428
Zion Williamson,NOP,30,857,737,508,241,90,20.468,3.7806301050175026,5.413912345679012
Bruce Brown,NOP,41,922,340,309,65,39,8.234146341463415,1.5227765726681128,5.407324021958169
Mark Williams,CHA,44,1171,671,447,163,71,11.789090909090909,2.1827497865072587,5.401027173139849
Naji Marshall,DAL,69,1919,914,712,160,112,11.339130434782609,2.1010943199583116,5.396773636991028
Guerschon Yabusele,PHI,70,1895,768,563,138,87,8.910285714285715,1.6527704485488126,5.391121145776319
Luke Kornet,BOS,73,1361,441,280,97,31,4.42027397260274,0.8199853049228509,5.390674620709971
Larry Nance Jr.,ATL,24,463,203,155,13,16,6.696666666666666,1.244060475161987,5.382910879629629
Duncan Robinson,MIA,74,1786,817,663,53,86,9.274594594594594,1.7334826427771555,5.350266778406314
Brandon Clarke,MEM,64,1207,534,380,87,41,6.535625,1.2228666114333058,5.344511771680216
Kel'el Ware,MIA,64,1422,595,464,67,57,7.710625,1.4430379746835444,5.343327850877193
Kyle Kuzma,MIL,65,1936,964,848,202,146,14.413538461538462,2.714876033057851,5.309096358740195
Wendell Carter Jr.,ORL,68,1758,618,491,175,77,8.352941176470589,1.5767918088737203,5.297428062133944
Brandon Boston,NOP,42,993,448,381,85,52,9.961904761904762,1.8851963746223566,5.28427960927961
LeBron James,LAL,70,2444,1710,1270,331,260,20.223428571428574,3.8297872340425534,5.280561904761905
Yves Missi,NOP,73,1956,665,492,204,82,7.969315068493151,1.50920245398773,5.280481122619445
Lindy Waters III,DET,52,778,256,249,11,20,4.881538461538462,0.9254498714652957,5.274773504273504
Amen Thompson,HOU,69,2225,970,697,247,138,11.676521739130436,2.2328089887640448,5.229521109010713
Paul George,PHI,41,1334,665,570,97,106,14.94341463414634,2.8605697151424287,5.223929539295392
Obi Toppin,IND,79,1545,833,599,114,68,8.217215189873418,1.5844660194174756,5.18611007694217
Haywood Highsmith,MIA,74,1818,478,391,43,54,5.53945945945946,1.0693069306930694,5.18042042042042
Bilal Coulibaly,WAS,59,1948,727,624,185,125,11.95593220338983,2.31006160164271,5.17559020715631
Javonte Green,CLE,68,1258,347,287,76,32,4.71235294117647,0.9157392686804452,5.14595486111111
Cade Cunningham,DET,70,2452,1830,1457,370,309,23.14,4.536704730831974,5.10061848256023
Max Strus,CLE,50,1273,471,373,34,54,7.7592,1.5271013354281224,5.080998765432099
Dennis Schröder,DET,75,2105,980,827,216,142,12.293866666666666,2.428503562945368,5.062321857068336
Ja'Kobe Walter,TOR,52,1103,449,393,83,50,8.26,1.6319129646418857,5.061544444444444
Jeff Green,HOU,32,396,172,121,26,9,4.13875,0.8181818181818182,5.058472222222222
Jalen Smith,CHI,64,962,524,408,89,37,6.986875,1.3846153846153846,5.046076388888889
Keyonte George,UTA,67,2108,1125,919,285,183,15.588059701492538,3.1252371916508537,4.987800523792695
Josh Green,CHA,68,1888,506,421,72,70,6.657058823529412,1.3347457627118644,4.9875107376283845
Julius Randle,MIN,69,2226,1288,939,335,196,15.744927536231886,3.1698113207547167,4.9671497584541076
John Collins,UTA,40,1221,758,531,164,103,15.078999999999999,3.036855036855037,4.965334142394822
Alec Burks,MIA,49,864,356,271,49,29,5.970612244897959,1.2083333333333335,4.941196340605207
Justin Champagnie,WAS,62,1341,544,411,73,54,7.147096774193549,1.4496644295302012,4.930173237753883
Taurean Prince,MIL,80,2166,656,514,48,82,6.689,1.3628808864265927,4.9079857723577245
Keon Johnson,BKN,79,1925,839,779,139,116,10.634936708860758,2.1693506493506494,4.902359474271303
Seth Curry,CHA,68,1062,444,343,39,32,5.2964705882352945,1.0847457627118644,4.882683823529412
Bogdan Bogdanović,LAC,54,1348,583,492,66,74,9.648888888888889,1.9762611275964392,4.882395729062396
Herbert Jones,NOP,20,648,205,172,40,35,9.48,1.9444444444444444,4.8754285714285714
Alex Caruso,OKC,54,1041,382,314,51,37,6.230370370370371,1.2795389048991355,4.869230897564231
Domantas Sabonis,SAC,70,2429,1337,893,289,202,14.573714285714285,2.99382461918485,4.867925192519251
Ricky Council IV,PHI,73,1250,532,463,153,52,7.2646575342465765,1.4975999999999998,4.850866409085588
Quentin Grimes,PHI,75,2013,1092,823,214,141,12.2288,2.5216095380029806,4.849600945626477
Nikola Jović,MIA,46,1156,494,377,87,60,9.027826086956521,1.8685121107266436,4.831558776167472
Malcolm Brogdon,WAS,24,564,305,240,92,38,11.686666666666667,2.425531914893617,4.818187134502924
Grayson Allen,PHX,64,1544,680,489,114,75,8.424375,1.7487046632124352,4.817494444444444
Jonathan Isaac,ORL,71,1090,380,324,107,33,5.2264788732394365,1.089908256880734,4.795338360127093
Keon Ellis,SAC,80,1948,666,464,86,71,6.273000000000001,1.3121149897330595,4.780830985915493
Stephon Castle,SAS,81,2162,1190,988,344,177,14.066172839506175,2.9472710453283995,4.77260917749723
Jakob Poeltl,TOR,57,1686,824,579,144,111,11.269473684210526,2.370106761565836,4.754837995890628
Nickeil Alexander-Walker,MIN,82,2073,773,616,118,99,8.145365853658536,1.719247467438495,4.737750677506774
Collin Sexton,UTA,63,1758,1159,867,251,160,15.514920634920635,3.2764505119453924,4.735283068783069
Jordan Poole,WAS,68,2001,1391,1057,274,204,17.31705882352941,3.6701649175412294,4.718332612456747
Thomas Bryant,IND,66,963,429,321,64,30,5.290303030303031,1.1214953271028036,4.71718686868687
Walker Kessler,UTA,58,1740,641,419,152,86,8.377241379310345,1.7793103448275862,4.7081395348837205
Georges Niang,ATL,79,1697,784,620,58,82,8.17113924050633,1.7395403653506187,4.6972978628520465
Ja Morant,MEM,50,1519,1159,889,319,185,20.587200000000003,4.384463462804477,4.69548900900901
Dejounte Murray,NOP,31,1012,542,494,124,106,17.695483870967742,3.770750988142293,4.6928274836004595
Julian Phillips,CHI,79,1123,366,287,76,27,4.056202531645569,0.8655387355298307,4.686332760327135
Jordan Clarkson,UTA,37,962,600,493,143,86,15.024864864864863,3.2182952182952187,4.668578811369508
Caleb Martin,DAL,45,1218,356,304,98,56,7.713777777777778,1.6551724137931034,4.6604074074074076
Mike Conley,MIN,71,1756,582,468,90,75,7.149295774647888,1.5375854214123006,4.649690140845071
Bub Carrington,WAS,82,2458,807,748,85,141,9.578048780487805,2.065093572009764,4.638070114743701
Olivier-Maxence Prosper,DAL,52,584,201,174,76,14,3.9892307692307694,0.8630136986301369,4.622442002442003
