Year,Season_Type,PLAYER,GP,MIN,OREB,DREB,REB,OREB_PG,DREB_PG,REB_PG,OREB_P36,DREB_P36,REB_P36
2023-24,Regular Season,Kevon Looney,74,1194,143,276,419,1.9324324324324325,3.72972972972973,5.662162162162162,4.311557788944723,8.321608040201005,12.633165829145728
2023-24,Regular Season,Trayce Jackson-Davis,68,1130,135,206,341,1.9852941176470589,3.0294117647058822,5.014705882352941,4.300884955752212,6.56283185840708,10.863716814159293
2023-24,Regular Season,Precious Achiuwa,74,1624,191,296,487,2.581081081081081,4.0,6.581081081081081,4.233990147783251,6.5615763546798025,10.795566502463055
2024-25,Regular Season,Day'Ron Sharpe,50,907,149,181,330,2.98,3.62,6.6,5.914002205071665,7.18412348401323,13.098125689084894
2024-25,Regular Season,Donovan Clingan,67,1324,217,310,527,3.2388059701492535,4.626865671641791,7.865671641791045,5.900302114803625,8.429003021148036,14.32930513595166
2024-25,Regular Season,Zach Edey,66,1416,232,316,548,3.515151515151515,4.787878787878788,8.303030303030303,5.898305084745762,8.033898305084746,13.932203389830509
2024-25,Regular Season,Kevon Looney,76,1142,185,277,462,2.4342105263157894,3.6447368421052633,6.078947368421052,5.831873905429071,8.732049036777584,14.563922942206656
2024-25,Regular Season,Walker Kessler,58,1740,266,441,707,4.586206896551724,7.603448275862069,12.189655172413794,5.503448275862069,9.124137931034483,14.627586206896552
2024-25,Regular Season,Moussa Diabaté,71,1241,187,251,438,2.6338028169014085,3.535211267605634,6.169014084507042,5.424657534246575,7.281224818694601,12.705882352941178
2024-25,Regular Season,Clint Capela,55,1176,174,295,469,3.1636363636363636,5.363636363636363,8.527272727272727,5.326530612244898,9.030612244897958,14.357142857142858
2024-25,Regular Season,Luke Kornet,73,1361,190,198,388,2.6027397260273974,2.712328767123288,5.315068493150685,5.025716385011021,5.237325495958855,10.263041880969874
2024-25,Regular Season,Jalen Duren,78,2034,277,530,807,3.551282051282051,6.794871794871795,10.346153846153847,4.902654867256636,9.380530973451327,14.283185840707965
2024-25,Regular Season,Yves Missi,73,1956,255,346,601,3.493150684931507,4.739726027397261,8.232876712328768,4.693251533742331,6.368098159509202,11.061349693251534
