PLAYER,TEAM,GP,MIN,EFF_total_calc,EFF_per_game_calc,EFF_per36_calc,EFF
Blake Wesley,SAS,58,683,253,4.362068965517242,13.335285505124448,253
Caleb Houstan,ORL,58,788,252,4.344827586206897,11.512690355329948,252
Trey Jemison III,LAL,38,392,163,4.289473684210526,14.969387755102044,163
Rob Dillingham,MIN,49,516,210,4.285714285714286,14.65116279069767,210
Jordan Miller,LAC,37,420,157,4.243243243243243,13.457142857142859,157
Cody Williams,UTA,50,1060,212,4.240000000000001,7.2,212
Malaki Branham,SAS,47,427,194,4.127659574468085,16.355971896955502,194
Tristan Thompson,CLE,40,328,163,4.075,17.890243902439025,163
Jevon Carter,CHI,36,321,144,4.0,16.149532710280376,144
Isaac Jones,SAC,40,304,160,3.9999999999999996,18.947368421052634,160
Dillon Jones,OKC,54,552,213,3.944444444444445,13.89130434782609,213
Alex Len,LAL,46,380,177,3.8478260869565215,16.76842105263158,177
Reece Beekman,BKN,36,469,132,3.6666666666666665,10.132196162046908,132
Gary Harris,ORL,48,711,173,3.604166666666667,8.759493670886075,173
Jaden Springer,UTA,43,365,146,3.395348837209302,14.399999999999999,146
Patty Mills,LAC,29,321,97,3.344827586206897,10.878504672897197,97
Jett Howard,ORL,60,701,198,3.3000000000000007,10.16833095577746,198
Hunter Tyson,DEN,51,400,152,2.9803921568627447,13.68,152
Johnny Furphy,IND,50,379,149,2.9799999999999995,14.153034300791555,149
Anthony Gill,WAS,51,398,150,2.9411764705882346,13.5678391959799,150
Jordan McLaughlin,SAS,46,314,134,2.913043478260869,15.36305732484076,134
Rayan Rupert,POR,52,460,149,2.865384615384615,11.660869565217391,149
Doug McDermott,SAC,42,342,107,2.547619047619048,11.26315789473684,107
Jordan Walsh,BOS,52,403,118,2.269230769230769,10.540942928039701,118
