PLAYER,TEAM,GP,MIN,PTS,REB_pg,AST_pg,STL_pg,BLK_pg,StatStuffer_pg,REB_per36,AST_per36,STL_per36,BLK_per36,StatStuffer_per36
Zion Williamson,NOP,30,857,737,7.2,5.3,1.2333333333333334,0.9,14.633333333333335,9.073512252042008,6.679113185530922,1.5542590431738623,1.134189031505251,18.441073512252043
Luka Dončić,LAL,50,1769,1408,8.18,7.66,1.78,0.42,18.040000000000003,8.323346523459582,7.794234030525721,1.811192764273601,0.42736009044658,18.356133408705485
LeBron James,LAL,70,2444,1710,7.8,8.214285714285714,1.0,0.5571428571428572,17.57142857142857,8.042553191489361,8.469721767594109,1.0310965630114566,0.5744680851063829,18.117839607201308
Jalen Smith,CHI,64,962,524,5.578125,1.015625,0.265625,0.6875,7.546875,13.359667359667359,2.4324324324324325,0.6361746361746362,1.6465696465696467,18.074844074844073
Karl-Anthony Towns,NYK,72,2517,1759,12.777777777777779,3.0833333333333335,0.9861111111111112,0.6944444444444444,17.541666666666668,13.158522050059595,3.1752085816448155,1.0154946364719906,0.7151370679380215,18.064362336114424
Jakob Poeltl,TOR,57,1686,824,9.596491228070175,2.7719298245614037,1.1578947368421053,1.2456140350877194,14.771929824561404,11.679715302491104,3.3736654804270465,1.4092526690391458,1.516014234875445,17.97864768683274
Dejounte Murray,NOP,31,1012,542,6.451612903225806,7.354838709677419,2.032258064516129,0.3870967741935484,16.2258064516129,7.1146245059288535,8.110671936758893,2.241106719367589,0.4268774703557312,17.893280632411066
Trayce Jackson-Davis,GSW,62,967,407,5.016129032258065,1.6774193548387097,0.3709677419354839,0.6129032258064516,7.677419354838711,11.57807652533609,3.8717683557394005,0.8562564632885212,1.4146845915201653,17.720785935884177
Jalen Johnson,ATL,36,1284,680,9.972222222222221,5.027777777777778,1.5555555555555556,1.0,17.555555555555557,10.065420560747663,5.074766355140186,1.5700934579439252,1.0093457943925233,17.7196261682243
Mo Bamba,NOP,32,413,138,4.53125,0.5625,0.28125,0.96875,6.34375,12.639225181598063,1.569007263922518,0.784503631961259,2.702179176755448,17.694915254237287
Evan Mobley,CLE,71,2167,1316,9.28169014084507,3.183098591549296,0.8591549295774648,1.591549295774648,14.915492957746478,10.947854176280572,3.7544993077988003,1.0133825565297647,1.8772496538994001,17.59298569450854
Draymond Green,GSW,68,1983,613,6.088235294117647,5.632352941176471,1.4558823529411764,1.0294117647058822,14.205882352941176,7.51588502269289,6.953101361573374,1.7972768532526475,1.2708018154311649,17.537065052950076
Scottie Barnes,TOR,65,2134,1252,7.723076923076923,5.815384615384615,1.4307692307692308,0.9692307692307692,15.938461538461539,8.468603561387066,6.376757263355201,1.5688847235238987,1.062792877225867,17.477038425492033
