PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Christian Braun,DEN,79,2675,98,312,410,11.085972850678733,11.41185076810534,11.332227750138198
Deandre Ayton,POR,40,1206,124,282,406,11.643192488262912,11.181601903251389,11.318650683022025
Tobias Harris,DET,73,2305,65,367,432,6.9075451647183845,12.747481764501565,11.30890052356021
OG Anunoby,NYK,74,2706,97,261,358,12.630208333333334,10.86594504579517,11.293375394321767
Day'Ron Sharpe,BKN,50,907,149,181,330,18.742138364779873,8.341013824884792,11.129848229342327
Cade Cunningham,DET,70,2452,56,369,425,5.951115834218916,12.816950329975684,11.12565445026178
Tyler Herro,MIA,77,2725,35,364,399,4.375,12.972202423378477,11.064891846921796
Bobby Portis,MIL,49,1244,90,321,411,12.448132780082988,10.58707124010554,10.945406125166445
Andre Drummond,PHI,40,751,109,201,310,15.352112676056336,9.43219145940873,10.91165082717353
RJ Barrett,TOR,58,1869,61,305,366,6.441393875395987,12.624172185430464,10.88314005352364
Luke Kornet,BOS,73,1361,190,198,388,20.787746170678336,7.3387694588584145,10.741971207087486
Brook Lopez,MIL,80,2546,113,288,401,15.629322268326417,9.498680738786279,10.679094540612516
Shai Gilgeous-Alexander,OKC,76,2598,67,312,379,8.014354066985646,11.449541284403669,10.643077787138445
Kevin Durant,PHX,62,2265,23,351,374,2.843016069221261,12.726613488034808,10.485001401738156
Isaiah Stewart,DET,72,1434,130,269,399,13.815090329436769,9.343522056269538,10.44502617801047
Jalen Williams,OKC,69,2237,59,310,369,7.057416267942583,11.376146788990827,10.362257792754844
Russell Westbrook,DEN,75,2092,102,268,370,11.538461538461538,9.80248719824433,10.226644555002764
Al Horford,BOS,60,1659,79,290,369,8.643326039387308,10.748702742772425,10.215946843853821
Jaylen Brown,BOS,63,2158,82,286,368,8.971553610503284,10.600444773906597,10.188261351052049
Keldon Johnson,SAS,77,1838,112,259,371,12.641083521444695,9.39767779390421,10.186710598572212
Daniel Gafford,DAL,57,1226,155,233,388,16.454352441613587,8.118466898954704,10.178384050367262
Austin Reaves,LAL,73,2550,61,268,329,7.99475753604194,10.758731433159374,10.110633066994467
Bilal Coulibaly,WAS,59,1948,91,203,294,13.725490196078432,9.038290293855745,10.106565830182193
Keon Johnson,BKN,79,1925,63,234,297,7.9245283018867925,10.783410138248847,10.016863406408094
Precious Achiuwa,NYK,57,1170,101,216,317,13.151041666666666,8.992506244796003,10.0
Jabari Smith Jr.,HOU,57,1716,105,294,399,8.75,10.44776119402985,9.940209267563528
Paolo Banchero,ORL,46,1582,51,294,345,5.68561872909699,11.404189294026377,9.928057553956835
Brandin Podziemski,GSW,64,1716,65,260,325,6.989247311827956,11.00296233601354,9.869419981779533
Kyle Kuzma,MIL,65,1936,54,316,370,7.468879668049793,10.422163588390502,9.85352862849534
Franz Wagner,ORL,60,2023,56,286,342,6.243032329988852,11.093871217998448,9.841726618705037
Kyshawn George,WAS,68,1802,49,236,285,7.390648567119156,10.507569011576136,9.79718116191131
Royce O'Neale,PHX,75,1837,53,296,349,6.551297898640297,10.732414793328498,9.784132324081861
Ziaire Williams,BKN,63,1541,61,226,287,7.672955974842767,10.414746543778802,9.679595278246206
Jeremy Sochan,SAS,54,1364,127,225,352,14.33408577878104,8.16400580551524,9.665019220208675
Jalen Johnson,ATL,36,1284,62,297,359,6.187624750499002,10.867178924259056,9.61178045515395
Obi Toppin,IND,79,1545,56,262,318,7.865168539325842,10.011463507833398,9.552418143586662
Jalen Smith,CHI,64,962,89,268,357,10.360884749708964,9.219126246990024,9.479553903345725
Trayce Jackson-Davis,GSW,62,967,122,189,311,13.118279569892474,7.99830723656369,9.444275736410567
Derrick White,BOS,76,2574,67,274,341,7.330415754923414,10.155670867309118,9.44075304540421
John Collins,UTA,40,1221,89,238,327,9.83425414364641,9.26791277258567,9.415490930031673
Stephen Curry,GSW,70,2252,40,270,310,4.301075268817205,11.426153195090986,9.413908290312785
Brandon Clarke,MEM,64,1207,127,199,326,13.201663201663202,7.950459448661606,9.408369408369408
Jalen Green,HOU,82,2697,45,332,377,3.75,11.798152096659559,9.392127553562531
Jonathan Mogbo,TOR,63,1286,109,202,311,11.510031678986273,8.360927152317881,9.247695509961344
Jeremiah Robinson-Earl,NOP,66,1239,110,205,315,11.56677181913775,8.259468170829976,9.175648121176813
Jalen Wilson,BKN,79,2031,75,195,270,9.433962264150944,8.986175115207374,9.106239460370995
Rui Hachimura,LAL,59,1869,79,216,295,10.35386631716907,8.67121637896427,9.065765212046712
Jonathan Isaac,ORL,71,1090,120,194,314,13.377926421404682,7.525213343677269,9.035971223021583
Shaedon Sharpe,POR,72,2252,68,256,324,6.384976525821597,10.15067406819984,9.032617786451073
Tari Eason,HOU,57,1420,128,234,362,10.666666666666668,8.315565031982942,9.018435475834579
Jimmy Butler III,GSW,55,1746,125,171,296,13.440860215053762,7.236563690224291,8.98876404494382
Julian Champagnie,SAS,82,1932,67,251,318,7.562076749435666,9.107402031930334,8.731466227347612
Donovan Mitchell,CLE,71,2232,57,265,322,6.222707423580786,9.546109510086454,8.721560130010834
Adem Bona,PHI,58,905,92,153,245,12.957746478873238,7.1797278273111225,8.623724040830695
Naji Marshall,DAL,69,1919,76,252,328,8.067940552016985,8.780487804878048,8.604407135362015
Devin Booker,PHX,75,2795,76,229,305,9.394313967861558,8.303118201595359,8.550602747406783
Harrison Barnes,SAS,82,2230,97,213,310,10.948081264108351,7.728592162554426,8.511806699615596
Payton Pritchard,BOS,80,2271,102,205,307,11.159737417943107,7.598220904373611,8.499446290143965
Cameron Johnson,BKN,57,1800,54,193,247,6.7924528301886795,8.894009216589861,8.330522765598651
Aaron Wiggins,OKC,76,1744,81,214,295,9.688995215311005,7.853211009174312,8.284189834316203
Jaxson Hayes,LAL,56,1093,78,191,269,10.222804718217562,7.667603372139703,8.266748617086662
Tidjane Salaün,CHA,60,1244,70,210,280,7.667031763417305,8.471157724889068,8.254716981132075
Luguentz Dort,OKC,71,2073,89,204,293,10.645933014354068,7.486238532110091,8.228025835439484
De'Aaron Fox,SAS,62,2241,54,244,298,6.094808126410835,8.853410740203193,8.182317408017573
Mikal Bridges,NYK,82,3036,71,188,259,9.244791666666668,7.826810990840966,8.170347003154573
Stephon Castle,SAS,81,2162,89,208,297,10.045146726862303,7.547169811320755,8.15485996705107
Steven Adams,HOU,58,794,166,161,327,13.833333333333334,5.721393034825871,8.146487294469356
Chris Paul,SAS,82,2292,33,263,296,3.724604966139955,9.542815674891147,8.12740252608457
Trey Lyles,SAC,69,1350,80,236,316,8.171603677221654,8.062862999658353,8.090117767537123
Zach LaVine,SAC,74,2603,22,293,315,2.247191011235955,10.010249402118209,8.064516129032258
Jaime Jaquez Jr.,MIA,66,1368,84,206,290,10.5,7.341411261582323,8.042151968940654
Buddy Hield,GSW,82,1863,51,213,264,5.483870967741936,9.013965298349556,8.017005769814759
Lauri Markkanen,UTA,47,1476,72,206,278,7.955801104972375,8.021806853582554,8.004606968039159
Ausar Thompson,DET,59,1328,111,192,303,11.79596174282678,6.668982285515804,7.9319371727748695
Kristaps Porziņģis,BOS,42,1210,68,216,284,7.439824945295405,8.005930318754633,7.862679955703211
DeAndre Jordan,DEN,56,691,84,200,284,9.502262443438914,7.315288953913679,7.849640685461582
Trey Murphy III,NOP,53,1854,47,221,268,4.942166140904311,8.904109589041095,7.806583163413924
Tyrese Haliburton,IND,73,2450,42,216,258,5.8988764044943816,8.253725640045854,7.750075097626915
Jaylen Wells,MEM,79,2044,87,181,268,9.043659043659044,7.231322413104276,7.734487734487734
Paul George,PHI,41,1334,24,195,219,3.3802816901408446,9.150633505396527,7.708553326293559
Zach Collins,CHI,64,977,102,186,288,11.874272409778813,6.398348813209494,7.647371216144451
Taurean Prince,MIL,80,2166,34,253,287,4.702627939142462,8.344327176781002,7.6431424766977365
DeMar DeRozan,SAC,77,2768,50,248,298,5.107252298263535,8.472839084386743,7.629288274449565
Dorian Finney-Smith,LAL,63,1819,80,167,247,10.484927916120576,6.704134885588117,7.590657652120466
Nickeil Alexander-Walker,MIN,82,2073,54,211,265,6.301050175029172,7.992424242424242,7.577923934801258
Derrick Jones Jr.,LAC,77,1873,93,170,263,11.712846347607053,6.343283582089552,7.570523891767415
Thomas Bryant,IND,66,963,83,168,251,11.657303370786517,6.419564386702331,7.539801742264944
Ricky Council IV,PHI,73,1250,51,163,214,7.183098591549296,7.648991083998123,7.5325589581133405
Ryan Dunn,PHX,74,1410,92,175,267,11.372064276885045,6.345177664974619,7.485281749369217
Scotty Pippen Jr.,MEM,79,1683,65,194,259,6.756756756756757,7.750699161006793,7.474747474747474
Andrew Wiggins,MIA,60,1842,89,180,269,11.125,6.414825374198147,7.459789240155297
Kevin Porter Jr.,MIL,75,1482,42,236,278,5.809128630705394,7.783641160949868,7.403462050599201
Tyrese Martin,BKN,60,1315,58,161,219,7.29559748427673,7.419354838709677,7.386172006745364
Matas Buzelis,CHI,80,1511,55,223,278,6.402793946449361,7.671138630890953,7.381837493361656
Jaylin Williams,OKC,47,784,48,214,262,5.741626794258373,7.853211009174312,7.357483852850323
Jrue Holiday,BOS,62,1896,76,189,265,8.315098468271334,7.005189028910304,7.336655592469546
Keyonte George,UTA,67,2108,26,227,253,2.8729281767955803,8.83956386292835,7.28476821192053
Georges Niang,ATL,79,1697,47,225,272,4.69061876247505,8.232711306256862,7.282463186077644
Coby White,CHI,74,2450,25,248,273,2.910360884749709,8.531131750945994,7.24907063197026
Damian Lillard,MIL,58,2093,29,243,272,4.011065006915629,8.014511873350925,7.243675099866845
Kris Dunn,LAC,74,1783,53,198,251,6.675062972292191,7.388059701492537,7.22510074841681
Chet Holmgren,OKC,32,877,48,209,257,5.741626794258373,7.669724770642201,7.217073855658524
Jamal Murray,DEN,67,2418,45,216,261,5.090497737556561,7.900512070226775,7.213930348258707
Ochai Agbaji,TOR,64,1739,61,181,242,6.441393875395987,7.491721854304635,7.195955991674101
Zaccharie Risacher,ATL,75,1843,86,182,268,8.582834331337326,6.659348701061105,7.17536813922356
Dereck Lively II,DAL,36,833,104,166,270,11.040339702760086,5.7839721254355405,7.08289611752361
Tristan da Silva,ORL,74,1629,73,172,245,8.138238573021182,6.671838634600466,7.0503597122302155
Devin Vassell,SAS,64,1983,34,221,255,3.837471783295711,8.018867924528301,7.00164744645799
Haywood Highsmith,MIA,74,1818,72,180,252,9.0,6.414825374198147,6.988352745424292
De'Andre Hunter,CLE,64,1740,44,214,258,4.8034934497816595,7.708933717579251,6.9880823401950165
Jordan Poole,WAS,68,2001,31,172,203,4.675716440422323,7.658058771148708,6.978343073221039
