PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Alex Caruso,OKC,54,1041,38,121,159,4.545454545454546,4.440366972477064,4.465037910699242
John Konchar,MEM,46,558,37,114,151,3.8461538461538463,4.554534558529764,4.357864357864358
Bismack Biyombo,SAS,28,528,43,115,158,4.853273137697517,4.172714078374455,4.3382756727073035
Ayo Dosunmu,CHI,46,1394,26,135,161,3.026775320139697,4.643962848297214,4.275092936802974
Moritz Wagner,ORL,30,564,40,108,148,4.459308807134894,4.189294026377036,4.258992805755395
Sam Merrill,CLE,71,1401,38,119,157,4.148471615720524,4.286743515850144,4.252437703141928
Mo Bamba,NOP,32,413,32,113,145,3.3648790746582544,4.552780016116036,4.223711039906787
Vít Krejčí,ATL,57,1153,22,134,156,2.19560878243513,4.903036955726308,4.176706827309237
Charles Bassey,SAS,36,376,56,96,152,6.320541760722348,3.483309143686502,4.173531026908292
Jalen Suggs,ORL,35,1002,23,118,141,2.564102564102564,4.577191621411948,4.057553956834532
Tosan Evbuomwan,BKN,28,665,32,88,120,4.0251572327044025,4.055299539170507,4.0472175379426645
DaQuan Jeffries,CHA,47,1071,37,98,135,4.052573932092004,3.953206938281565,3.9799528301886795
Jose Alvarado,NOP,56,1366,27,109,136,2.8391167192429023,4.391619661563255,3.961549665016021
Julian Strawther,DEN,65,1384,17,125,142,1.9230769230769231,4.57205559619605,3.924820342730791
Brandon Boston,NOP,42,993,28,106,134,2.9442691903259726,4.27074939564867,3.903291581706962
Jared Butler,PHI,60,1044,25,85,110,3.5211267605633805,3.988737681839512,3.8718760999648008
Brandon Miller,CHA,27,924,25,106,131,2.7382256297918945,4.275917708753529,3.8620283018867925
Nick Smith Jr.,CHA,60,1369,13,115,128,1.4238773274917853,4.63896732553449,3.7735849056603774
Dalano Banton,POR,67,1120,30,105,135,2.8169014084507045,4.163362410785091,3.763590744354614
Cam Whitmore,HOU,51,827,36,115,151,3.0,4.0867093105899075,3.761833582461385
Jay Huff,MEM,64,748,30,99,129,3.118503118503119,3.9552536955653217,3.722943722943723
Mouhamed Gueye,ATL,33,533,44,95,139,4.39121756487026,3.4760336626417856,3.7215528781793843
Tristan Thompson,CLE,40,328,32,102,134,3.4934497816593884,3.674351585014409,3.629469122426869
Colin Castleton,TOR,26,432,53,69,122,5.59662090813094,2.8559602649006623,3.6277133511745467
KJ Martin,UTA,43,912,30,95,125,3.314917127071823,3.699376947040498,3.599193780593147
Taj Gibson,CHA,37,409,51,69,120,5.585980284775466,2.7833803953206937,3.5377358490566038
Isaac Okoro,CLE,55,1053,49,81,130,5.349344978165939,2.9178674351585014,3.5211267605633805
Immanuel Quickley,TOR,33,918,16,101,117,1.689545934530095,4.180463576158941,3.479036574487065
Jordan Goodwin,LAL,29,543,38,74,112,4.980340760157274,2.9706945002007226,3.4419176398279046
Alec Burks,MIA,49,864,15,109,124,1.875,3.8845331432644334,3.438713255684969
Jamal Shead,TOR,75,1467,30,85,115,3.167898627243928,3.5182119205298013,3.4195658638120725
Jock Landale,HOU,42,500,56,81,137,4.666666666666667,2.878464818763326,3.4130543099152963
Dillon Jones,OKC,54,552,30,91,121,3.588516746411483,3.339449541284404,3.3979219320415615
Jordan Clarkson,UTA,37,962,25,93,118,2.7624309392265194,3.6214953271028034,3.3976389288799305
Seth Curry,CHA,68,1062,24,89,113,2.628696604600219,3.5901573215006053,3.331367924528302
Josh Okogie,CHA,40,625,45,68,113,4.928806133625411,2.743041549011698,3.331367924528302
Olivier-Maxence Prosper,DAL,52,584,44,82,126,4.670912951167728,2.857142857142857,3.305351521511018
Dalen Terry,CHI,73,987,38,86,124,4.423748544819558,2.958376332989336,3.2926181625066384
Robert Williams III,POR,20,351,35,83,118,3.286384976525822,3.2910388580491676,3.2896570950655146
Cameron Payne,NYK,72,1090,14,90,104,1.8229166666666667,3.746877601998335,3.2807570977917986
Kai Jones,DAL,40,468,40,85,125,4.246284501061571,2.961672473867596,3.2791185729275973
Cody Williams,UTA,50,1060,27,86,113,2.983425414364641,3.348909657320872,3.2536711776562046
Jaden Ivey,DET,30,898,40,84,124,4.250797024442083,2.917679749913164,3.2460732984293195
Trey Jemison III,LAL,38,392,44,61,105,5.766710353866317,2.448815736651947,3.2267977873386604
Paul Reed,DET,45,438,40,83,123,4.250797024442083,2.882945467176103,3.2198952879581153
KJ Simpson,CHA,36,842,39,70,109,4.271631982475356,2.8237192416296892,3.2134433962264155
Shake Milton,LAL,57,836,31,73,104,4.062909567496723,2.93054997992774,3.196066379840197
Lonzo Ball,CHI,35,777,25,93,118,2.910360884749709,3.199174406604747,3.1332979288369622
Malcolm Brogdon,WAS,24,564,21,70,91,3.167420814479638,3.1166518254674975,3.1282227569611547
Dwight Powell,DAL,55,551,47,71,118,4.989384288747346,2.473867595818815,3.0954879328436515
Tre Jones,CHI,46,905,31,85,116,3.608847497089639,2.923976608187134,3.0801911842804035
Kessler Edwards,DAL,40,608,22,93,115,2.335456475583864,3.2404181184668994,3.0167890870933896
Colby Jones,WAS,39,515,21,66,87,3.167420814479638,2.9385574354407837,2.9907184599518737
Maxi Kleber,LAL,34,637,25,70,95,3.2765399737876804,2.810116419108792,2.919483712354026
Alex Len,LAL,46,380,38,57,95,4.980340760157274,2.2882376555600157,2.919483712354026
Bol Bol,PHX,36,448,20,84,104,2.4721878862793574,3.0456852791878175,2.915615363050182
Jae'Sean Tate,HOU,52,588,50,67,117,4.166666666666666,2.380952380952381,2.914798206278027
Pat Connaughton,MIL,41,603,19,90,109,2.627939142461964,2.9683377308707124,2.902796271637816
Lindy Waters III,DET,52,778,20,90,110,2.1253985122210417,3.126085446335533,2.8795811518324608
Ryan Rollins,MIL,56,820,21,87,108,2.904564315352697,2.8693931398416885,2.8761651131824233
Vince Williams Jr.,MEM,27,499,22,76,98,2.2869022869022873,3.0363563723531763,2.8282828282828283
Christian Koloko,LAL,37,342,35,57,92,4.587155963302752,2.2882376555600157,2.8272894898586354
Gabe Vincent,LAL,72,1527,20,72,92,2.621231979030144,2.890405459654757,2.8272894898586354
Wendell Moore Jr.,CHA,36,499,30,65,95,3.285870755750274,2.6220250100847116,2.8007075471698113
Cam Thomas,BKN,25,781,15,68,83,1.8867924528301887,3.133640552995392,2.799325463743676
Larry Nance Jr.,ATL,24,463,23,80,103,2.2954091816367264,2.9271862422246615,2.7576974564926373
Talen Horton-Tucker,CHI,58,724,19,81,100,2.211874272409779,2.786377708978328,2.655337227827934
GG Jackson,MEM,29,459,27,65,92,2.806652806652807,2.596883739512585,2.655122655122655
Jaylon Tyson,CLE,47,453,37,59,96,4.039301310043668,2.1253602305475505,2.600216684723727
Svi Mykhailiuk,UTA,38,760,22,68,90,2.430939226519337,2.64797507788162,2.591419522027066
Duop Reath,POR,46,469,44,48,92,4.131455399061033,1.9032513877874702,2.564817396152774
A.J. Lawson,TOR,26,486,20,66,86,2.1119324181626187,2.7317880794701987,2.55724055902468
Pelle Larsson,MIA,55,782,28,64,92,3.5000000000000004,2.2808267997148968,2.5513033832501386
Vasilije Micic,PHX,41,785,20,69,89,2.4721878862793574,2.5018129079042786,2.4950939164564057
Zeke Nnaji,DEN,57,608,33,57,90,3.733031674208145,2.0848573518653986,2.4875621890547266
Jamal Cain,NOP,37,502,27,58,85,2.8391167192429023,2.3368251410153102,2.475968540635013
Marcus Smart,WAS,34,680,18,54,72,2.7149321266968327,2.404274265360641,2.4750773461670676
Kyle Lowry,PHI,35,659,11,56,67,1.5492957746478873,2.627874237447208,2.3583245336149243
Jaden Hardy,DAL,57,907,9,80,89,0.9554140127388535,2.7874564459930316,2.334732423924449
Garrison Mathews,ATL,47,830,13,74,87,1.2974051896207583,2.707647274057812,2.3293172690763053
Elfrid Payton,NOP,24,511,15,64,79,1.5772870662460567,2.5785656728444803,2.3011942907078358
Dominick Barlow,ATL,35,375,35,50,85,3.493013972055888,1.8294914013904133,2.2757697456492636
Ousmane Dieng,OKC,37,405,18,63,81,2.15311004784689,2.311926605504587,2.274641954507161
Herbert Jones,NOP,20,648,22,56,78,2.3133543638275498,2.2562449637389204,2.2720652490533064
Anthony Gill,WAS,51,398,18,48,66,2.7149321266968327,2.13713268032057,2.2688209006531452
Lonnie Walker IV,PHI,20,477,6,57,63,0.8450704225352111,2.674800563115908,2.2175290390707496
Collin Gillespie,PHX,33,461,22,56,78,2.719406674907293,2.030456852791878,2.1867115222876365
Caleb Houstan,ORL,58,788,19,56,75,2.118171683389075,2.1722265321955003,2.158273381294964
Hunter Tyson,DEN,51,400,25,53,78,2.828054298642534,1.9385515727871252,2.155887230514096
Johnny Furphy,IND,50,379,23,48,71,3.2303370786516856,1.834161253343523,2.132772604385701
Cory Joseph,ORL,50,612,17,57,74,1.89520624303233,2.2110162916989915,2.1294964028776975
Jeff Dowtin Jr.,PHI,41,621,12,48,60,1.6901408450704223,2.252463632097607,2.1119324181626187
David Roddy,HOU,33,410,13,71,84,1.0833333333333335,2.523098791755508,2.092675635276532
Delon Wright,NYK,40,635,27,39,66,3.515625,1.623646960865945,2.082018927444795
Cam Reddish,LAL,33,589,17,49,66,2.2280471821756227,1.9670814933761542,2.028272894898586
AJ Johnson,WAS,29,638,8,51,59,1.206636500754148,2.2707034728406055,2.0281883808869026
Torrey Craig,BOS,26,314,27,46,73,2.954048140043764,1.704966641957005,2.0210409745293467
Jett Howard,ORL,60,701,20,50,70,2.229654403567447,1.9394879751745537,2.014388489208633
Jared McCain,PHI,23,592,13,43,56,1.8309859154929577,2.017832003754106,1.9711369236184444
Jalen Pickett,DEN,49,666,15,56,71,1.6968325791855203,2.04828090709583,1.9624101713653954
Rayan Rupert,POR,52,460,26,44,70,2.4413145539906105,1.7446471054718478,1.9514914970727628
Devin Carter,SAC,36,396,19,57,76,1.940755873340143,1.9473864024598566,1.9457245263696878
Aaron Holiday,HOU,62,792,13,65,78,1.0833333333333335,2.3098791755508175,1.9431988041853512
Reed Sheppard,HOU,52,654,16,62,78,1.3333333333333335,2.2032693674484722,1.9431988041853512
Landry Shamet,NYK,50,762,11,50,61,1.4322916666666665,2.0815986677768525,1.9242902208201893
Jordan Walsh,BOS,52,403,23,46,69,2.516411378555799,1.704966641957005,1.910299003322259
Ajay Mitchell,OKC,36,597,18,50,68,2.15311004784689,1.834862385321101,1.9095759618084809
Monté Morris,PHX,45,571,12,55,67,1.4833127317676145,1.9941986947063088,1.8783291281188674
Maxwell Lewis,BKN,28,328,18,37,55,2.2641509433962264,1.705069124423963,1.854974704890388
Gary Harris,ORL,48,711,20,44,64,2.229654403567447,1.7067494181536074,1.8417266187050358
Antonio Reeves,NOP,44,660,18,45,63,1.8927444794952681,1.813053988718775,1.8351296242353627
Craig Porter Jr.,CLE,51,513,19,48,67,2.074235807860262,1.729106628242075,1.8147345612134345
Marcus Sasser,DET,57,811,18,51,69,1.9128586609989375,1.7714484195901354,1.8062827225130889
Baylor Scheierman,BOS,31,384,19,46,65,2.0787746170678334,1.704966641957005,1.7995570321151715
Blake Wesley,SAS,58,683,17,44,61,1.9187358916478554,1.5965166908563133,1.6749038989566172
Jaden Springer,UTA,43,365,17,41,58,1.8784530386740332,1.5965732087227413,1.6700259141952203
Jordan Miller,LAC,37,420,23,35,58,2.8967254408060454,1.3059701492537312,1.6695451928612552
Eric Gordon,PHI,39,769,8,38,46,1.1267605633802817,1.7832003754106054,1.6191481872580078
Trevelin Queen,ORL,31,430,26,28,54,2.898550724637681,1.0861132660977502,1.553956834532374
Brandon Williams,DAL,33,487,12,46,58,1.2738853503184715,1.6027874564459932,1.521511017838405
Jaylen Clark,MIN,40,522,26,27,53,3.0338389731621938,1.0227272727272727,1.5155847869602517
Reggie Jackson,PHI,31,384,8,34,42,1.1267605633802817,1.5954950727358048,1.478352692713833
Isaac Jones,SAC,40,304,22,35,57,2.247191011235955,1.1957635804578066,1.4592933947772657
Jeff Green,HOU,32,396,11,47,58,0.9166666666666666,1.6702203269367448,1.4449427005480817
Rob Dillingham,MIN,49,516,12,38,50,1.4002333722287048,1.4393939393939394,1.4297969688304262
Malaki Branham,SAS,47,427,7,44,51,0.7900677200902935,1.5965166908563133,1.400329489291598
Terrence Shannon Jr.,MIN,32,339,10,37,47,1.1668611435239207,1.4015151515151516,1.3440091507006005
Keaton Wallace,ATL,31,501,7,43,50,0.6986027944111777,1.5733626051957557,1.3386880856760375
Quenton Jackson,IND,28,381,14,30,44,1.9662921348314606,1.146350783339702,1.321718233703815
Reece Beekman,BKN,36,469,13,26,39,1.6352201257861636,1.19815668202765,1.315345699831366
Jevon Carter,CHI,36,321,4,35,39,0.46565774155995343,1.2039903680770554,1.0355815188528943
Danté Exum,DAL,20,372,4,29,33,0.42462845010615713,1.0104529616724738,0.8656873032528857
Jordan McLaughlin,SAS,46,314,6,24,30,0.6772009029345373,0.8708272859216255,0.8237232289950577
Patty Mills,LAC,29,321,4,18,22,0.5037783375314862,0.6716417910447761,0.6332757628094415
Doug McDermott,SAC,42,342,3,19,22,0.30643513789581206,0.6491288008199522,0.5632360471070148
