Year,Season_Type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
2023-24,Regular Season,1627741,93,Buddy Hield,1610612755,PHI,84,2160,371,850,0.436,219,568,0.386,52,59,0.881,61,208,269,236,70,42,103,169,1013,1041,2.29,0.68
2023-24,Regular Season,1627734,26,Domantas Sabonis,1610612758,SAC,82,2928,634,1068,0.594,33,87,0.379,292,415,0.704,294,826,1120,673,74,48,272,250,1593,2679,2.47,0.27
2023-24,Regular Season,1630224,22,Jalen Green,1610612745,HOU,82,2601,563,1332,0.423,201,605,0.332,283,352,0.804,41,382,423,291,66,28,191,115,1610,1389,1.52,0.35
2023-24,Regular Season,1628969,24,Mikal Bridges,1610612751,BKN,82,2854,564,1294,0.436,220,592,0.372,258,317,0.814,68,304,372,299,81,30,164,116,1606,1435,1.82,0.49
2023-24,Regular Season,1630559,56,Austin Reaves,1610612747,LAL,82,2629,457,940,0.486,154,420,0.367,232,272,0.853,57,295,352,450,66,25,174,153,1300,1496,2.59,0.38
2023-24,Regular Season,203084,96,Harrison Barnes,1610612758,SAC,82,2381,347,732,0.474,149,385,0.387,157,196,0.801,67,182,249,99,54,12,58,98,1000,932,1.71,0.93
2023-24,Regular Season,1626171,76,Bobby Portis,1610612749,MIL,82,2008,466,918,0.508,100,246,0.407,98,124,0.79,142,465,607,104,68,34,91,189,1130,1374,1.14,0.75
2023-24,Regular Season,1631096,44,Chet Holmgren,1610612760,OKC,82,2413,505,953,0.53,129,349,0.37,218,275,0.793,129,519,648,200,53,190,131,197,1357,1812,1.53,0.41
2023-24,Regular Season,202685,95,Jonas Valančiūnas,1610612740,NOP,82,1925,402,719,0.559,37,120,0.308,161,205,0.785,186,535,721,173,32,68,111,218,1002,1524,1.56,0.29
2023-24,Regular Season,1629638,170,Nickeil Alexander-Walker,1610612750,MIN,82,1921,236,538,0.439,131,335,0.391,52,65,0.8,35,132,167,204,64,42,76,143,655,741,2.68,0.84
2024-25,Regular Season,1628969,30,Mikal Bridges,1610612752,NYK,82,3036,592,1183,0.5,164,463,0.354,96,118,0.814,71,188,259,306,75,43,132,127,1444,1382,2.32,0.57
2024-25,Regular Season,1627736,43,Malik Beasley,1610612765,DET,82,2283,461,1071,0.43,319,766,0.416,95,140,0.679,47,167,214,139,73,5,83,125,1336,1029,1.68,0.88
2024-25,Regular Season,1628386,72,Jarrett Allen,1610612739,CLE,82,2296,452,640,0.706,0,5,0.0,199,277,0.718,216,582,798,158,77,73,97,127,1103,1846,1.63,0.79
2024-25,Regular Season,203084,83,Harrison Barnes,1610612759,SAS,82,2230,347,683,0.508,156,360,0.433,161,199,0.809,97,213,310,136,39,14,50,75,1011,1086,2.72,0.78
2024-25,Regular Season,1630183,86,Jaden McDaniels,1610612750,MIN,82,2614,398,834,0.477,100,303,0.33,104,128,0.813,129,341,470,163,110,74,95,225,1000,1262,1.72,1.16
2024-25,Regular Season,1627741,99,Buddy Hield,1610612744,GSW,82,1863,328,786,0.417,203,549,0.37,53,64,0.828,51,213,264,134,69,23,91,132,912,842,1.47,0.76
2024-25,Regular Season,1642267,123,Bub Carrington,1610612764,WAS,82,2458,300,748,0.401,138,407,0.339,69,85,0.812,33,308,341,364,54,21,141,190,807,982,2.58,0.38
2024-25,Regular Season,101108,147,Chris Paul,1610612759,SAS,82,2292,249,583,0.427,140,371,0.377,85,92,0.924,33,263,296,605,103,22,129,151,723,1279,4.69,0.8
2024-25,Regular Season,1629638,131,Nickeil Alexander-Walker,1610612750,MIN,82,2073,270,616,0.438,141,370,0.381,92,118,0.78,54,211,265,223,50,34,99,139,773,874,2.25,0.51
2024-25,Regular Season,1630577,121,Julian Champagnie,1610612759,SAS,82,1932,276,665,0.415,178,480,0.371,85,94,0.904,67,251,318,111,61,35,74,114,815,868,1.5,0.82
